Player,Player Votes,Player Rank,Fan Votes,Fan Rank,Media Votes,Media Rank,Weighted Score
"Beekman, Reece (BKN) ",0,70,851,100,0,8,69.5
,,,,,,,
"Wallace, Keaton (ATL) ",1,43,559,114,0,8,69.75
,,,,,,,
"Jeffries, DaQuan (CHA) ",0,70,843,101,0,8,70
,,,,,,,
"Umude, Stanley (MIL) ",1,43,558,115,0,8,70.25
,,,,,,,
"Davison, JD (BOS) ",0,70,838,102,0,8,70.5
,,,,,,,
"Sasser, Marcus (DET) ",0,70,791,103,0,8,71
,,,,,,,
"Jenkins, Daniss (DET) ",0,70,765,104,0,8,71.5
,,,,,,,
"Moore Jr., Wendell (DET) ",1,43,494,118,0,8,71.75
,,,,,,,
"Howard, Jett (ORL) ",0,70,711,106,0,8,72.5
,,,,,,,
"Simpson, KJ (CHA) ",1,43,421,120,0,8,72.75
,,,,,,,
"Lawson, A.J. (TOR) ",1,43,410,121,0,8,73.25
,,,,,,,
"Harris, Gary (ORL) ",0,70,647,108,0,8,73.5
,,,,,,,
"Bufkin, Kobe (ATL) ",0,70,642,109,0,8,74
,,,,,,,
"Terry, Dalen (CHI) ",1,43,381,123,0,8,74.25
,,,,,,,
"Shamet, Landry (NYK) ",0,70,604,110,0,8,74.5
,,,,,,,
"Jackson, Quenton (IND) ",1,43,380,124,0,8,74.75
,,,,,,,
"Sheppard, Ben (IND) ",0,70,594,111,0,8,75
,,,,,,,
"Springer, Jaden (BOS) ",0,70,575,112,0,8,75.5
,,,,,,,
"Dowtin Jr., Jeff (PHI) ",1,43,340,126,0,8,75.75
,,,,,,,
,,,,,,,
"Smith Jr., Nick (CHA) ",0,70,569,113,0,8,76
,,,,,,,
"Whitehead, Dariq (BKN) ",0,70,523,116,0,8,77.5
,,,,,,,
"Newton, Tristen (IND/MIN) ",0,70,511,117,0,8,78
,,,,,,,
"Tyson, Jaylon (CLE) ",0,70,476,119,0,8,79
,,,,,,,
"Porter Jr., Craig (CLE) ",0,70,396,122,0,8,80.5
,,,,,,,
"Wright, Delon (MIL) ",0,70,345,125,0,8,82
,,,,,,,
"Williams, Alondes ",0,70,248,127,0,8,83
,,,,,,,
"Martin, Jaylen ",0,70,197,128,0,8,83.5
,,,,,,,
