#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PF
705,"Steven Verplancken, Jr.",WEBER,32,32.9,12.1,4.2,9.9,0.427,2.2,5.8,0.384,1.5,1.8,0.825,0.5,2.3,2.8,1.3,0.7,0,0.8,1.6,
706,Blondeau Tchoukuiengo,CALBU,32,31.3,12.1,3.9,9.3,0.426,0.8,3,0.271,3.4,5.2,0.659,0.7,2.2,2.9,3,1,0.1,2.1,2.3,
707,Airion Simmons,ACU,33,25,12.1,4.3,10.2,0.417,0.6,2.2,0.284,2.9,4.4,0.669,1.5,4.8,6.3,2.2,1.2,0.5,1.9,3.2,
708,Jadon Jones,LBSU,34,30.4,12.1,3.8,9.1,0.419,2.3,6,0.377,2.2,2.6,0.852,0.5,2.8,3.3,1.6,1.8,1,1.1,2.4,
709,K.J. Jenkins,UNCW,31,25.7,12.1,4.2,10.3,0.412,2.7,7.4,0.37,0.9,1.1,0.824,0.2,2.2,2.4,0.9,0.9,0,0.7,1.5,
710,Max Mackinnon,ELON,32,27.1,12.1,4.6,10.3,0.45,1.6,4.4,0.364,1.3,1.8,0.702,0.9,3.8,4.8,2.6,0.8,0.2,2.1,1.4,
711,Tyler Harris,UP,22,33.7,12.1,4.1,9,0.46,0.9,2.4,0.358,3,4.4,0.677,1.6,5.7,7.3,1.1,1,0.9,2,1.7,
712,Sebastian Mack,UCLA,33,26.7,12.1,3.7,9.6,0.387,0.8,3,0.283,3.8,5.2,0.727,0.6,2.9,3.6,1.6,1.3,0.1,1.6,2.3,
713,Shemar Wilson,UTA,34,29.9,12.1,4,7.7,0.517,0.1,0.6,0.227,3.9,5.6,0.705,2.8,4.9,7.7,1.3,0.7,1.9,1.7,3.2,
714,Coleman Hawkins,ILL,35,31.7,12.1,4.1,9.1,0.451,1.7,4.6,0.369,2.2,2.7,0.792,1.4,4.7,6.1,2.7,1.5,1.1,1.6,2.6,
715,KiAndre Gaddy,TARST,35,28.1,12.1,4.9,8.8,0.558,0,0.1,0,2.3,3.5,0.648,3.8,3,6.8,1.1,1,1.5,1.5,3.3,
716,Ante Brzovic,C of C,35,22.7,12.1,4.9,10.4,0.467,0.5,2.2,0.221,1.9,2.9,0.653,1.5,4.7,6.3,2.4,0.4,0.4,1.7,2,
717,Duncan Powell,CSUS,29,26.4,12.1,4.5,9.1,0.492,0.5,1.7,0.286,2.6,3.8,0.685,2.8,4.2,7,2,0.5,0.3,1.7,1.9,
718,Frank Mitchell,CAN,31,28.9,12.1,5.2,9.3,0.561,0.1,0.3,0.333,1.6,3.7,0.43,4.1,7.5,11.6,1.5,0.7,0.9,2,2.8,
719,A.J. Clayton,OHIO,33,26.3,12,4.2,8.4,0.496,2.2,5.5,0.401,1.5,1.8,0.814,1.4,3.3,4.7,0.8,0.5,1.8,1,2.4,
720,Ja'Monta Black,APSU,35,35.7,12,3.8,9.4,0.404,3.2,8.2,0.395,1.2,1.6,0.75,0.4,3.2,3.6,0.8,1.1,0.1,0.5,1.8,
721,Aboubacar Traore,LBSU,36,30.8,12,4.1,8,0.517,0.1,0.6,0.087,3.7,5.6,0.665,2.7,5.8,8.4,4.5,1.5,1.4,2.6,3,
722,Braden Smith,PURD,39,33.9,12,4.4,10,0.442,1.4,3.3,0.431,1.7,2.1,0.795,0.7,5.1,5.8,7.5,1.6,0.1,2.7,1.6,
723,Josh Scovens,USMA,32,30.9,12,4.4,10.9,0.4,1.4,4.3,0.321,1.9,2.8,0.667,1.3,4.1,5.4,1.9,0.7,1.1,1.8,2.2,
724,Chris Bell,SYRA,32,27,12,4.2,9.7,0.434,2.6,6.3,0.42,1,1.2,0.842,0.2,2.2,2.3,0.7,0.6,0.7,0.8,1.8,
725,Terence Harcum,APPST,34,28.1,12,3.9,10.4,0.375,2.1,6,0.356,2,2.5,0.802,0.3,2.2,2.5,1,0.7,0.1,1,1.9,
726,Adam Miller,ASU,23,31.4,12,3.8,9.7,0.393,1.6,5.3,0.303,2.7,3.3,0.818,0.2,3,3.2,1.6,0.8,0.1,1.6,1.6,
727,T.J. Long,UVM,35,28.5,12,4.1,9.6,0.426,2.2,6.1,0.363,1.6,2,0.812,0.3,3.7,4,1.4,1,0.4,1,1.3,
728,Charlie Easley,SDKSU,34,33.2,12,4.1,9.1,0.456,2,5,0.394,1.7,1.9,0.892,1.2,4.2,5.4,2.3,2.1,0.1,1.2,2.6,
729,D.Q. Nicholas,GWU,33,31,12,4.1,10.2,0.398,1.4,3.9,0.359,2.5,3.8,0.648,0.6,3.4,4,2.8,0.8,0.2,1.8,1.7,
730,A.J. Braun,WRST,32,25.7,12,5.1,7.4,0.689,0,0,0,1.7,2.9,0.598,2.3,4,6.2,0.9,0.3,1.1,1.7,2.3,
731,Isaiah Hill,FRSNO,32,36,12,4.3,11.2,0.385,1.6,5.1,0.307,1.8,2.2,0.814,0.5,2.9,3.4,6,1.3,0.1,2.3,2.1,
732,Tony Felder,STONE,30,29.3,12,4,11.4,0.35,2.2,7,0.311,1.8,2.5,0.73,0.6,2.3,3,2.8,1.3,0.1,2,1.7,
733,Tana Kopa,LIU,29,32.3,12,4.2,11.3,0.376,2.1,6.4,0.33,1.4,1.7,0.833,0.5,3.4,3.9,1.1,0.8,0.6,1.7,1.9,
734,Tytan Anderson,UNI,33,28.3,11.9,3.8,7.7,0.502,0.2,0.8,0.25,4,5.8,0.696,2.4,4.7,7.1,2,1.3,0.6,1.4,2.8,
735,Caleb Kenney,HC,33,27,11.9,5.3,9.2,0.576,0,0,0,1.4,2.4,0.582,2.3,4.2,6.5,1.4,0.8,2.2,1.8,3,
736,Jordan Riley,TEM,33,29,11.9,4.4,10.2,0.432,0.6,2.4,0.256,2.5,3.5,0.707,1.6,4.5,6,1.1,1.1,0.8,1.7,2.1,
737,Sean Moore,FDU,32,30.1,11.9,4.3,10.8,0.403,1.5,4.8,0.318,1.7,2.3,0.733,2.7,4.9,7.6,1.6,1,0.5,1.6,2.1,
738,Raheem Anthony,STTOM,32,29.6,11.9,3.9,8,0.49,1.1,2.5,0.443,3,4.1,0.72,1.3,3.5,4.8,3.3,1.4,0.1,2.5,1.8,
739,Rob Martin,SEMO,31,28.5,11.9,4.5,10.5,0.423,1.3,3.3,0.392,1.7,2,0.885,0.6,1.6,2.2,3.5,0.8,0,2.3,2.3,
740,Brian Myles,PVAMU,30,29.5,11.9,4.8,8.5,0.559,0.2,0.7,0.35,2.2,3,0.714,2.4,6.9,9.3,1.2,1.4,1.1,1.7,3.4,
741,Elias Cato,UCA,28,28.8,11.9,4.3,9.3,0.464,0.8,2,0.418,2.5,3.4,0.719,1.7,4.4,6.1,1,0.9,0.9,2,2.8,
742,Noah Freidel,JMU,36,30.1,11.9,3.8,8.8,0.432,2.3,5.9,0.384,2.1,2.4,0.851,1.2,4.1,5.3,1.7,0.9,0.9,0.9,2.4,
743,Lassina Traore,LBSU,35,30.3,11.9,4.4,8.4,0.524,0,0.1,0.25,3.1,4.4,0.697,3.4,7,10.3,1.2,0.8,0.5,1.9,3.2,
744,Ben Burnham,C of C,35,22.1,11.9,4.5,9.7,0.464,1.3,3.6,0.368,1.6,2.3,0.695,1.7,2.9,4.5,0.9,0.9,0.5,1,1.6,
745,Rob Perry,MRRY,32,30.3,11.9,4.5,11.3,0.399,1.3,4.6,0.295,1.6,2.1,0.735,0.8,4.3,5.1,2,1,0.3,1.3,1.6,
746,Madison Durr,CTDL,32,33.7,11.9,3.9,9,0.429,0.5,1.9,0.274,3.6,4.8,0.758,0.6,3.6,4.2,3.3,0.9,0.3,2.2,2.6,
747,Grant Nelson,UA,37,25.6,11.9,3.9,8,0.488,0.8,3,0.273,3.3,4.1,0.813,1.6,4.3,5.9,1.5,0.6,1.6,1.4,3.1,
748,Zee Hamoda,CSUS,34,29.1,11.9,4,10.2,0.396,1.9,5.6,0.34,1.9,2.4,0.783,0.8,3.2,4,1.7,1.2,0.3,2.6,2.4,
749,Hosana Kitenge,LA,33,26.3,11.9,4.7,8.4,0.562,0,0.1,0.333,2.5,3.9,0.633,2.7,3.8,6.5,1.9,1.2,0.9,1.6,3.2,
750,Jan Zidek,CHATT,33,21.5,11.9,3.9,8,0.483,1.4,4.1,0.346,2.7,3.3,0.824,0.9,2.5,3.4,1.2,0.3,0.1,1.1,1.2,
751,Moses Wood,UWASH,32,32.5,11.9,3.8,9.1,0.421,2.5,6.3,0.396,1.7,1.9,0.871,0.8,3.7,4.5,0.8,0.6,0.6,0.9,2.3,
752,Darweshi Hunter,MIAMI,32,30.1,11.9,3.9,9.9,0.399,2,5.6,0.356,2,2.4,0.831,0.7,3.7,4.3,1.6,0.8,0.1,1,2,
753,Drake Allen,UVU,30,29.1,11.9,4.5,10.1,0.444,0.5,2.3,0.232,2.4,3.8,0.632,0.6,2.8,3.4,4.3,1.5,0.4,2,2.6,
754,Samuel Tabe,USA,29,22.5,11.9,4.5,8.4,0.531,0,0.1,0,2.9,3.8,0.764,1.5,2.4,3.9,1.1,0.7,0,1.8,2.1,
755,Tra'Michael Moton,GRAMB,36,29.4,11.9,4,9.9,0.401,1.3,3.4,0.371,2.6,3.3,0.805,0.7,2.3,2.9,2.7,1.7,0.1,2.2,2.1,
756,Zach Cleveland,LBRTY,32,28.8,11.8,4.7,7.9,0.593,0,0.3,0.125,2.4,4.5,0.542,1.7,4.6,6.3,4,0.9,1.2,2.8,2.1,
757,Dwon Odom,GAST,31,28.9,11.8,4.5,8.7,0.519,0.2,0.5,0.429,2.6,3.2,0.81,1.1,4,5,4.6,0.7,0.5,1.7,2.1,
758,Kellen Amos,CCSU,31,31.3,11.8,4,10.4,0.387,1.5,5.4,0.275,2.3,3.1,0.747,0.6,4.5,5.2,2.3,1.1,1.1,1.9,2,
759,"Mickey Pearson, Jr.",BLLST,30,33.5,11.8,3.6,8.3,0.43,1.4,3.9,0.359,3.3,3.9,0.853,1.3,3.6,4.9,0.8,0.5,0.3,1,1.4,
760,Justin Bailey,USCU,30,28.8,11.8,3.8,9.1,0.415,1.4,4.4,0.313,2.9,3.9,0.746,0.7,2.6,3.3,1.1,1.4,0.1,1.3,3.2,
761,Seydou Traore,MAN,28,32.4,11.8,4.7,10.9,0.433,0.8,3.2,0.256,1.6,2,0.8,1.7,6.5,8.2,2.3,1.5,1.3,1.8,2.4,
762,Freddy Hicks,ARKST,28,25.5,11.8,3.8,9.1,0.418,0.6,2.4,0.254,3.5,4.8,0.733,2.3,3.1,5.4,2.1,0.8,0.6,2,2.6,
763,Tayton Conerway,TROY,32,19.9,11.8,3.9,8.2,0.475,0.8,2.6,0.329,3.1,4.4,0.709,1,1.8,2.8,2.5,2.1,0.3,2.3,2.2,
764,Zakai Zeigler,TENN,36,31.6,11.8,3.7,9.5,0.393,2,5.8,0.344,2.3,3.3,0.706,0.3,2.5,2.8,6.1,1.7,0.1,2.2,1.3,
765,Simas Lukosius,CINCY,35,30.1,11.8,3.9,9.8,0.392,2.6,6.7,0.385,1.5,1.8,0.825,0.5,2.6,3.1,2.9,0.5,0.2,2,1.1,
766,Mitchell Saxen,STMRY,34,28.2,11.8,4.6,8.4,0.544,0,0,0,2.6,4.3,0.612,3.7,3.9,7.6,1.5,0.7,1.3,1.6,2.6,
767,Maleek Arington,IDHST,34,37.3,11.8,3.6,8.8,0.403,0.6,2.4,0.259,4,5.5,0.729,0.9,2.6,3.4,4.8,2.3,0.1,2.4,2.5,
768,Hunter-Jack Madden,ACU,34,32.5,11.8,3.5,8.8,0.393,1.9,4.8,0.389,3,3.7,0.808,0.6,2.4,3,2,1.1,0,1.6,2,
769,Dillon Bailey,WOFF,32,27.2,11.8,3.7,8.6,0.424,2,5.6,0.356,2.4,3.4,0.722,0.4,1.9,2.3,1.5,0.5,0,1.5,1.8,
770,Jaxson Baker,NEWHA,31,30.2,11.7,3.9,9.5,0.416,2.1,5.9,0.359,1.7,2.2,0.806,2,4.6,6.6,0.7,1.1,0.7,0.8,2.4,
771,Bernardo Da Silva,HAW,34,26.8,11.7,4.4,7.4,0.604,0,0,0,2.9,5.6,0.513,2.2,4.8,7,1.2,0.6,0.8,1.2,3,
772,Nate Santos,DAY,33,33.6,11.7,3.9,8.3,0.471,1.5,3.7,0.418,2.4,3.2,0.75,1.5,4.8,6.3,1.5,0.7,0.2,1.4,2.4,
773,Brock Wisne,NOCOL,33,26.8,11.7,4.8,7.8,0.616,0.2,0.7,0.333,1.8,2.5,0.744,1.7,2.6,4.3,1.5,0.7,0.3,1.5,3,
774,Brandon Rush,YSU,32,26.5,11.7,4.1,10.5,0.386,2.3,7.2,0.322,1.3,1.5,0.837,0.8,3.4,4.1,0.7,1.1,0.3,1.1,1.3,
775,Caleb Stone-Carrawell,UVU,32,27.7,11.7,4.3,10.8,0.397,1.3,3.9,0.339,1.8,2.6,0.702,0.6,2.8,3.4,1.6,0.3,0.2,1.6,0.7,
776,Lance Jones,PURD,39,28.7,11.7,3.9,9.6,0.413,2.1,5.7,0.357,1.8,2.4,0.742,0.5,2.3,2.7,1.9,1.3,0.2,1.5,1.9,
777,Spencer Jones,STAN,25,29,11.7,4,9,0.438,2.2,5.3,0.409,1.6,2.5,0.645,1.2,2.9,4.1,2,1.4,0.8,1.3,2.4,
778,Trey Robinson,NKU,33,31.3,11.7,4.3,9.7,0.439,0.6,2.5,0.229,2.5,3.8,0.672,2.1,4.9,7,1.9,1.8,0.3,1.9,2.2,
779,Luke Appel,SDKSU,35,26.2,11.7,4.6,8.8,0.521,0.5,1.2,0.419,1.9,3.1,0.624,0.8,3.7,4.5,1.6,0.3,0.1,2,2.5,
780,Brendan Wenzel,UWYOM,31,35.5,11.6,3.6,9,0.405,2,5.4,0.377,2.3,2.9,0.809,0.8,4.3,5.1,1.5,0.8,0.2,1.2,2.3,
781,Aubin Gateretse,STET,35,24.1,11.6,4.7,6.5,0.712,0,0.1,0.5,2.3,3.7,0.62,3,4.6,7.6,0.8,0.5,1.5,1.7,3.2,
782,Juwan Gary,UNL,28,27,11.6,4.4,8.8,0.498,0.9,3,0.306,2,2.9,0.679,2.2,3.9,6.1,1.3,1.1,0.8,0.7,2.2,
783,DeAntoni Gordon,UALR,33,30.8,11.6,4.9,9.4,0.521,0.3,0.9,0.345,1.5,2.3,0.68,1.6,3.2,4.7,1.3,0.8,0.8,1.4,2.2,
784,J'Vonne Hadley,COLO,36,34.3,11.6,3.9,7.3,0.538,0.6,1.3,0.417,3.2,3.8,0.839,1.4,4.6,6,2.4,1.2,0.3,1.3,1.7,
785,Rubin Jones,UNT,24,28.3,11.6,4,10,0.396,1.5,3.7,0.416,2.1,2.8,0.773,0.8,2.7,3.4,3.5,1.5,0.4,2,2.3,
786,Jordan Dingle,STJ,31,25,11.6,4.4,10,0.44,1.5,4.8,0.311,1.3,1.8,0.745,0.4,1.6,2,1.7,0.8,0.1,1.3,1.3,
787,Devon Ellis,UMES,26,26.7,11.6,4.5,9,0.498,0.2,0.8,0.25,2.5,3.5,0.696,1.2,3.2,4.4,0.7,0.7,0.4,1.7,1.3,
788,"Mark Mitchell, Jr.",DUKE,33,28.6,11.6,4.1,7.6,0.54,0.3,1.2,0.275,3,4.8,0.623,2.2,3.7,5.9,1.1,0.8,0.7,1.2,1.6,
789,Matt Knowling,YALE,28,28.2,11.6,5,8.8,0.567,0,0.3,0.143,1.6,2.6,0.608,1.1,3.8,4.9,2.6,0.5,0.3,0.9,1.5,
790,D.J. Campbell,WCU,32,29.5,11.6,4.6,8.6,0.529,0.8,1.9,0.41,1.7,2.3,0.726,0.4,3.3,3.7,1.5,0.7,0.2,1.3,1.7,
791,Dischon Thomas,MONT,36,27.8,11.6,4,8.7,0.458,1.6,3.9,0.408,2,2.5,0.791,1.3,4.1,5.4,1.6,0.6,1,1.3,2,
792,Lazar Stefanovic,UCLA,33,34.5,11.5,3.7,9.6,0.385,1.8,4.5,0.389,2.4,2.8,0.868,1.5,4.6,6.1,1.6,1.1,0.1,1.1,2.5,
793,Chris Pryor,LAMAR,33,27.3,11.5,3.8,8.9,0.431,1.9,4.8,0.392,2,2.4,0.823,0.4,2,2.4,3.6,1.4,0.1,1.5,1.5,
794,Trey Thomas,BGSU,28,32.8,11.5,3.5,9.9,0.354,2.1,6.5,0.317,2.5,3,0.831,0.4,2.3,2.7,2.4,1.2,0.1,1.3,1.9,
795,Keshad Johnson,ARZ,36,27.6,11.5,4.2,7.9,0.53,1,2.6,0.387,2.1,3,0.71,2,3.9,5.9,1.8,1,0.7,1.6,2.1,
796,Cormac Ryan,UNC,36,30.3,11.5,3.6,9.3,0.382,2.1,5.9,0.354,2.3,2.6,0.874,0.6,2.3,2.8,1.2,0.7,0.4,1.2,2.4,
797,Allen Betrand,NORF,34,24,11.5,4.1,8.8,0.467,1.1,3.1,0.375,2.1,2.5,0.847,0.8,2,2.8,1.2,0.8,0.2,1.4,2.2,
798,Darius Hannah,BRDLY,35,26,11.5,4.9,8,0.612,0,0.2,0.143,1.6,2.5,0.648,2.2,4.1,6.3,1.9,1.3,1.2,2,2.5,
799,Xavier DuSell,FRSNO,33,32.2,11.5,3.8,8.9,0.423,2.7,6.8,0.395,1.3,1.6,0.827,0.1,2,2.1,0.5,0.6,0.1,0.7,1.6,
800,Tanner Christensen,UTECH,31,30.2,11.5,4.3,7.6,0.564,0.2,1.1,0.176,2.7,4.5,0.6,2.1,4.6,6.8,2,0.5,1.5,2.2,3.8,
801,Braxton Bayless,NIAG,29,25.6,11.5,4.3,8.4,0.506,0.3,0.8,0.455,2.6,3.2,0.815,0.4,1.7,2.1,2.5,1.1,0.1,2.2,1.9,
802,Kanaan Carlyle,STAN,23,25.6,11.5,3.6,9.3,0.386,1.4,4.3,0.32,2.9,3.7,0.776,0.4,2.3,2.7,2.7,0.4,0.6,2.9,1.8,
803,Dominic Parolin,LEHI,28,25.1,11.5,4.3,9.4,0.455,0.9,2.8,0.329,2,2.4,0.809,1.9,4.4,6.3,1.6,0.5,0.7,1.3,2.5,
804,B.J. McLaurin,QUC,33,25.2,11.5,3.8,8.9,0.422,1.5,4.4,0.345,2.4,3.1,0.784,1.2,4.7,5.9,1.1,0.5,0.2,0.9,2.1,
805,A.J. Staton-McCray,SAMF,31,21.3,11.5,4,9,0.442,1.2,3,0.413,2.3,2.7,0.835,0.9,3.6,4.5,1.3,1.6,0.5,1.6,2.4,
806,Nazir Williams,COR,29,24.9,11.4,4,8.8,0.453,1.3,3.9,0.333,2.2,2.8,0.8,0.5,3.3,3.8,3.2,0.6,0,2,1.8,
807,Drew Lowder,CLEST,36,30.3,11.4,4,12.1,0.333,2.2,6.9,0.324,1.2,1.5,0.792,0.5,2.1,2.6,2.9,1.4,0.1,1.3,2,
808,Keonte Jones,CSUN,34,29.4,11.4,4.1,7.7,0.536,0.4,1.2,0.333,2.7,4.2,0.646,1.3,5.5,6.9,2.2,1.6,1.5,1.9,3.2,
809,Nick Ellington,MRRY,32,27.4,11.4,4.8,8.2,0.59,0,0,0,1.8,3.5,0.518,2.8,3.5,6.3,0.7,0.8,1.5,1.8,2.8,
810,Josh Pierre-Louis,UCSB,30,30.4,11.4,4.5,8.5,0.531,0.6,1.6,0.354,1.9,2.8,0.667,0.8,4,4.8,3.2,1.5,0.3,2.9,1.9,
811,Max Allen,MRST,28,22.4,11.4,4.5,8.8,0.518,0.1,0.5,0.2,2.3,3.4,0.656,1.1,2.7,3.8,1.9,0.6,0.3,1.8,2.4,
812,"Tedrick Wilcox, Jr.",HMPTN,33,30.8,11.4,4,10,0.402,1.6,5.2,0.316,1.7,2,0.864,0.5,3.5,4,1.8,1.2,0.1,2,1.9,
813,Jonas Aidoo,TENN,36,24.9,11.4,4.8,9.3,0.515,0.1,0.4,0.2,1.7,2.8,0.626,2.8,4.5,7.3,1,0.7,1.8,1,2.2,
814,Zeb Jackson,VCU,36,29.6,11.4,3.9,10.1,0.387,1.6,5.3,0.3,2.1,2.5,0.831,0.3,4.1,4.4,3.3,1.4,0.2,1.8,2,
815,Will Richard,FLA,36,29.4,11.4,3.7,9.1,0.411,1.9,5.6,0.345,2,2.5,0.802,1.5,2.4,3.9,1.3,0.9,0.5,1.3,1.8,
816,Brian Taylor,CMU,32,35,11.4,4.4,10,0.442,0.7,2.9,0.228,1.9,2.6,0.756,1.9,6.2,8.1,1.5,0.9,1.2,1.4,2.4,
817,Kalib Boone,UNLV,32,23.2,11.4,4.6,7.8,0.59,0,0,0,2.2,3.2,0.696,2.1,3.1,5.2,1.3,1.1,1.6,1.9,2.8,
818,Tibet Gorener,SJSU,32,33.3,11.4,4,10.1,0.395,2,5.8,0.339,1.4,2,0.73,1.1,2.8,3.9,0.8,0.5,0.3,1.1,1.8,
819,Darrion Williams,TXTCH,33,32.7,11.4,4,8,0.494,1.3,2.9,0.458,2.1,2.4,0.875,1.9,5.6,7.5,2.5,1.2,0.3,1.6,2.3,
820,C.J. Jones,UIC,33,33.4,11.4,4.5,10.7,0.425,0.9,2.5,0.378,1.4,2.2,0.616,0.5,2.9,3.5,4.8,0.9,0.4,2.8,2.5,
821,Kylan Blackmon,CCU,31,33.2,11.4,3.5,8.8,0.396,1.8,5.1,0.358,2.6,3.8,0.672,0.7,2.4,3.1,1.6,1.2,0.2,1.3,2.2,
822,Darnell Brodie,DRAKE,34,25.2,11.4,4.7,7.5,0.625,0,0,0,2,3,0.65,2.3,5.6,7.9,1.9,0.6,0.6,1.9,2.8,
823,Michael Imariagbe,HCU,29,28.3,11.4,4.5,8.4,0.531,0.1,0.4,0.182,2.3,4.2,0.557,3.2,5.3,8.5,1,0.6,1,2.3,2.6,
824,Bryan Antoine,RADF,32,29.4,11.4,3.6,9.1,0.397,1.7,4.3,0.399,2.5,2.8,0.888,0.3,3.3,3.6,1.7,1.4,0.7,1.2,1.8,
825,Ezra Ausar,ECAR,32,26.3,11.4,3.6,6.9,0.514,0.2,0.5,0.375,4.1,6.2,0.653,2,2.7,4.7,1,0.8,0.5,2.1,2.7,
826,Otega Oweh,OKLA,32,24.9,11.4,4.3,8.6,0.493,0.6,1.7,0.377,2.3,3.5,0.643,0.9,2.8,3.8,1,1.5,0.4,1.8,2.4,
827,Daniel Rouzan,MAN,27,29.6,11.4,5,9.5,0.527,0,0,0,1.4,2.1,0.638,1.7,3,4.6,1.8,0.4,0.6,1.5,2,
828,Dishon Jackson,CHAR,30,26.4,11.4,4.4,8,0.544,0.1,0.5,0.133,2.6,3.6,0.72,1.7,4.4,6.1,1.7,0.6,0.9,1.3,2.1,
829,Byron Ireland,NICH,28,29.6,11.4,4,9.3,0.432,0.9,2.7,0.316,2.5,3.2,0.787,0.7,3.3,4,2.2,1.4,0.1,2.3,2.8,
830,"D.J. Richards, Jr.",MCNST,34,26.2,11.4,3.6,7.7,0.466,2.4,5.4,0.451,1.7,2.2,0.797,0.4,1.8,2.2,0.7,1,0.1,0.5,1.6,
831,"Darin Green, Jr.",FLAST,32,30.1,11.3,4.1,10,0.406,2.4,6.4,0.38,0.8,1.1,0.714,0.3,2.7,3,1,1.4,0.1,1.1,2,
832,Jaeden Zackery,BOS,36,33.8,11.3,4.3,8.8,0.484,0.9,2.2,0.405,1.9,2.4,0.824,0.6,2.7,3.3,4.2,1.8,0.1,2,2.2,
833,Francis Nwaokorie,UCSD,33,31.4,11.3,3.7,8.2,0.456,1.5,4.5,0.34,2.3,2.9,0.794,1.6,3.9,5.5,0.9,0.7,0.7,1.5,2.8,
834,Johnathan Massie,LONG,34,25.4,11.3,3.6,9.6,0.374,1.1,3.1,0.346,3.1,4.4,0.689,1,4.1,5.2,1.8,1.2,0.4,1.6,1.8,
835,Christian Cook,NMSU,32,29.9,11.3,3.8,9.5,0.403,1.8,5.3,0.351,1.8,2.1,0.838,0.3,2.3,2.6,1.1,0.7,0.3,0.7,1.8,
836,Joe Charles,LA,33,33.6,11.3,4.2,9.5,0.442,1.6,4.7,0.34,1.3,1.7,0.786,2.9,6.7,9.6,1.1,1.8,1.1,1.3,2.3,
837,Cameron Christie,MINN,33,30.1,11.3,3.8,9.4,0.403,2.1,5.4,0.391,1.6,2,0.791,0.2,3.4,3.6,2.2,0.6,0.3,1.2,1.6,
838,Mason Falslev,USU,34,27.9,11.3,4.6,8.3,0.562,0.7,2.4,0.305,1.3,2,0.642,1.1,3.2,4.4,2.4,1.3,0.3,1.4,2.2,
839,Kiree Huie,IDHST,34,26.9,11.3,4.9,9.1,0.536,0,0.1,0,1.6,2.7,0.587,2.1,3.6,5.8,0.7,0.6,1.2,1.7,2.1,
840,Myles Rigsby,TROY,31,25.9,11.3,3.2,7.2,0.441,0.7,1.8,0.411,4.2,5.1,0.824,0.9,3.3,4.3,1.5,1.6,0.4,1.5,2.3,
841,Posh Alexander,BTLR,32,31.9,11.3,4,9.3,0.432,0.9,2.8,0.333,2.3,3,0.781,1.7,2.9,4.6,4.9,2.2,0.1,2.8,1.8,
842,Christian Tucker,UTSA,32,33.4,11.3,3.2,7.8,0.41,1,3.2,0.304,3.9,4.5,0.875,0.4,2.5,2.9,5.4,1.1,0.3,2.1,2.6,
843,Cam Morris III,UML,32,24.4,11.3,4.2,7.4,0.563,0.4,1.1,0.389,2.5,3.8,0.658,2.5,3.8,6.3,0.8,0.6,0.9,1.7,2.7,
844,Joey Reilly,HEART,32,28.5,11.3,4.2,8.1,0.516,1.7,4.2,0.406,1.3,1.6,0.804,0.2,1.1,1.3,2,1.3,0.1,1,2.1,
845,Aamer Muhammad,TROY,32,25.1,11.3,3.7,9.4,0.393,1.5,4.4,0.345,2.4,2.9,0.809,0.8,2.1,2.8,2.1,1.1,0.1,1.8,1.9,
846,Shamir Bogues,UVM,29,27.9,11.3,4.8,9.3,0.513,0.3,1.4,0.238,1.4,2.3,0.612,1.3,3.9,5.2,2.6,1.9,0.4,1.6,1.4,
847,Byron Joshua,ALCST,29,29.8,11.3,3.7,10.5,0.349,0.6,2.4,0.232,3.4,4.3,0.786,0.9,2.9,3.8,4.2,1.1,0.1,2.9,2.2,
848,Jaden Campbell,SAMF,33,22.9,11.3,3.6,6.8,0.536,1.7,3.5,0.479,2.3,2.8,0.817,0.6,2.7,3.2,1,0.9,0.5,1,1.6,
849,Latrell Reid,STPC,33,32.8,11.3,3.8,10.4,0.368,0.5,1.4,0.34,3.2,4.8,0.654,0.8,3.6,4.4,4.5,0.9,0.1,2.7,2.2,
850,Xavier Bell,WICHI,34,30.2,11.3,4.4,10.2,0.436,0.5,1.8,0.29,1.9,2.5,0.733,0.4,2.8,3.2,2.4,1.1,0.2,2.4,2.1,
851,Jackson Benigni,STONE,23,27.2,11.3,4,10,0.404,1.5,4.7,0.321,1.7,2.3,0.717,0.2,2.4,2.7,1,1.4,0,1.9,1.4,
852,Kasen Harrison,WIN,31,31.5,11.3,3.6,8.5,0.42,0.9,3,0.304,3.2,4.2,0.756,0.6,2.4,3,3.8,1.2,0.1,2,2.1,
853,Michael Christmas,LONG,35,27.3,11.3,3.9,8.9,0.444,1.1,2.8,0.398,2.3,2.9,0.775,1.8,4.3,6.1,0.9,0.5,0.2,1.5,1.5,
854,Kevin Overton,DRAKE,35,30,11.3,3.9,8.8,0.44,1.8,5.1,0.346,1.8,2.2,0.795,0.8,2.5,3.3,1.1,0.6,0.2,0.5,2.2,
855,Giovanni Emejuru,SIENA,32,26.8,11.3,4.1,7.2,0.568,0,0,0,3.1,5.2,0.599,2.9,3.3,6.3,0.6,0.8,0.6,1.7,2.7,
856,Yazid Powell,UTEP,34,26.4,11.2,3.6,8.9,0.399,0.6,2.4,0.272,3.5,4.7,0.733,1.3,3.7,5,3.1,1.8,0.3,2.8,2.6,
