#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,PF
454,Deywilk Tavarez,DESU,33,30.8,13.7,4.5,11.2,0.396,1.6,4.5,0.362,3.1,4.1,0.769,0.3,3,3.4,3.6,2,0,3.8,2.2,
455,"Claudell Harris, Jr.",BOS,35,31.5,13.7,4.8,12,0.403,2.5,6.8,0.37,1.5,2.1,0.712,0.3,3.3,3.7,2.1,0.8,0.1,1.1,1.3,
456,Matthew Cleveland,UMFL,29,33.3,13.7,5.3,10.9,0.489,1,2.9,0.357,2,2.5,0.795,1.7,4.4,6.1,1.7,1.3,0.4,1.9,1.3,
457,Tai Strickland,LIU,26,29.8,13.7,4.8,11,0.435,0.7,2.8,0.247,3.4,4.3,0.795,0.6,3.3,3.9,2.5,1.7,0.3,2.8,2.9,
458,"Dedan Thomas, Jr.",UNLV,34,34.8,13.6,4.8,10.7,0.449,1,2.8,0.362,3.1,4.1,0.743,0.2,2.6,2.7,5.1,0.9,0,2.2,1.3,
459,Samage Teel,PRSBY,32,27.9,13.6,4.6,10.5,0.442,1.7,4.1,0.415,2.7,3.6,0.754,0.5,2.1,2.6,2.7,0.8,0.1,2.2,2.2,
460,B.J. Mack,SOCAR,34,24.8,13.6,4.5,10.8,0.414,1.5,4.6,0.321,3.2,4,0.801,1.1,3.6,4.7,1.3,0.3,0.5,1.3,2.2,
461,Chris Doherty,NEU,31,28.9,13.6,5.4,10.4,0.522,0.5,2.2,0.235,2.3,3.1,0.737,2.1,4.6,6.7,2.3,0.5,0.8,2.8,2.5,
462,Ray'Sean Taylor,SIUE,33,30.7,13.6,4.6,11.9,0.384,2.5,6.7,0.367,2,2.5,0.805,0.7,2.9,3.6,2.8,1.2,0.1,2.6,2.4,
463,Charles Smith IV,PVAMU,30,28.1,13.6,4.6,11.2,0.412,1.2,3.6,0.336,3.2,4,0.8,0.6,2.7,3.3,1.8,1.3,0.4,2,3.1,
464,Gabe Madsen,U of U,37,32.6,13.6,4.8,11,0.436,2.8,7.4,0.386,1.2,1.6,0.721,0.3,3.5,3.9,2.5,1.3,0.1,2,1.6,
465,Noel Coleman,HAW,34,32.6,13.6,4.5,10.1,0.449,1.9,5.3,0.354,2.6,3.2,0.818,0.3,3.1,3.4,1.4,1.2,0.2,1.5,1.5,
466,RayJ Dennis,BAYL,35,34.3,13.6,5.1,10.7,0.479,1.1,3.4,0.328,2.2,3,0.731,0.5,3.4,3.9,6.8,1.4,0.1,3.5,2.5,
467,Tre Jackson,WCU,32,33.3,13.6,4.7,12.1,0.39,3,8.2,0.37,1.1,1.3,0.833,0.3,2.6,3,1.8,1,0,1.3,1.8,
468,Nico Galette,HEART,31,27.9,13.5,5.2,12.3,0.421,1,3,0.323,2.2,3.6,0.613,1.6,5.6,7.3,2.1,1.9,0.5,2.2,2.2,
469,Hunter Cattoor,VT,33,33.1,13.5,4,9,0.449,2.5,6.1,0.405,3,3.4,0.893,0.2,2.5,2.8,1.9,0.9,0.2,1.2,2.1,
470,Marcus Dockery,HWRD,35,34,13.5,4.5,10.6,0.422,2.7,6.7,0.406,1.9,2.3,0.823,0.8,2.5,3.3,1.8,0.9,0.1,2.1,1.2,
471,Alex Schumacher,SEA,37,30.6,13.5,4.4,10.5,0.423,0.8,2.6,0.309,3.9,5,0.777,0.5,3.2,3.7,5.1,1.3,0.1,2.9,2.1,
472,K.J. Allen,PORTL,30,27.1,13.5,4.3,9.8,0.442,0.9,2.3,0.386,4,5.1,0.783,2.2,5.2,7.4,1.2,1,0.2,1.5,1.6,
473,Jose Perez,ASU,30,30.9,13.5,4.1,9.6,0.431,0.6,1.4,0.405,4.7,6.4,0.738,0.9,2.9,3.8,2.7,0.9,0.3,1.6,1.9,
474,Jahvon Quinerly,MEMP,32,32.9,13.5,4.4,10.8,0.405,1.8,5.3,0.345,3,3.8,0.792,0.3,2.9,3.3,4.9,1.3,0.1,2.3,1.7,
475,Ray Harrison,GCU,34,32.7,13.5,4.3,10.5,0.406,1,3.4,0.287,4,4.8,0.835,0.5,2.4,2.9,3.9,0.8,0.2,2.1,2.1,
476,Jayson Kent,INDST,38,30.4,13.5,4.9,7.7,0.639,0.8,2.2,0.366,2.8,3.4,0.837,2.1,6.1,8.1,0.6,0.7,0.5,1.1,2.6,
477,Ethan Taylor,AF,31,36.8,13.5,4.5,12,0.378,2.7,7.6,0.357,1.7,2.1,0.815,0.5,3.5,4,2.7,1.2,0.4,1.9,2.2,
478,D.J. Davis,BTLR,33,29.5,13.5,4.3,10,0.429,2,5.8,0.351,2.9,3,0.95,0.3,2.9,3.2,2.6,1.1,0.1,1.6,1.8,
479,Trey Moss,W&M,33,31.3,13.5,4.8,11.7,0.413,1.3,4.5,0.291,2.6,3.4,0.752,0.7,2.8,3.5,2.2,0.7,0,1.5,1.7,
480,Brian Goracke,MTSTU,35,30.5,13.5,4.4,10.1,0.436,2,5.4,0.365,2.7,3.2,0.865,1.2,3.1,4.3,0.8,0.6,0.5,1.6,3.2,
481,"Roddy Gayle, Jr.",OSU,36,30.9,13.5,4.7,10.4,0.449,0.8,2.9,0.282,3.3,4,0.832,1,3.6,4.6,3.1,0.8,0.2,2.4,2.1,
482,Jonathan Cisse,TEXSO,32,29.2,13.5,4.3,10.5,0.412,1.6,4.2,0.378,3.3,4,0.827,0.7,2.7,3.4,2.8,0.9,0.1,1.5,0.8,
483,Wayne McKinney III,SAND,32,30.1,13.5,4.5,10.7,0.419,0.8,2.5,0.342,3.7,5,0.744,0.8,2.8,3.6,2.9,1.3,0.2,2.1,2.4,
484,Quimari Peterson,ETSU,35,32,13.5,5.1,12.9,0.393,1.1,3.8,0.286,2.2,3.1,0.716,1.7,2.8,4.5,3.7,1.7,0.3,2.3,2.2,
485,Tyrone Williams,ODU,31,30.9,13.5,5.3,12.4,0.426,1.1,4.1,0.273,1.8,2.9,0.611,1.1,4.5,5.6,1.1,1.5,0.3,1.3,1.5,
486,Nate Heise,UNI,32,32.9,13.5,4.7,10.1,0.463,1.5,4.1,0.356,2.7,3.7,0.729,0.7,5.4,6.1,2.4,0.9,0.6,1.6,1.7,
487,Tamar Bates,MZZOU,32,27.3,13.5,4.8,9.7,0.495,1.1,2.8,0.385,2.8,3,0.926,0.8,2.2,3,1.3,0.8,0.2,1.7,2,
488,Andrew Carr,WF,35,32.5,13.5,4.7,8.9,0.526,1,2.8,0.371,3.1,3.9,0.781,1.8,5,6.8,1.5,0.5,1.5,1.2,2.6,
489,Davon Barnes,SHSU,33,31,13.5,4.5,10.7,0.421,1.8,4.6,0.391,2.6,3.2,0.837,0.5,3.1,3.5,1.6,0.7,0.2,1.8,1.9,
490,Kaden Metheny,LBRTY,32,32,13.4,4.8,10.5,0.452,2.7,6.6,0.412,1.2,1.8,0.684,0.4,2.9,3.4,2.7,0.8,0.1,1.9,1.4,
491,Garrett Johnson,GW,23,29.2,13.4,4.3,10,0.428,2.3,5.6,0.403,2.7,3,0.871,1,4.6,5.6,1,0.8,0.3,1.6,1.9,
492,Oso Ighodaro,MARQ,36,32.5,13.4,5.4,9.4,0.576,0,0.1,0,2.5,4.1,0.623,2.6,4.3,6.9,2.9,1.1,1.3,1.8,2.2,
493,Anthony Roberts,IPFW,36,32.2,13.4,5.1,11.1,0.458,1,3.3,0.308,2.2,2.8,0.808,1.1,4.7,5.8,1.6,1.7,0.7,2,1.8,
494,Josh Corbin,RMU,29,33.6,13.4,4.1,10.9,0.375,3,8.3,0.363,2.2,2.6,0.853,0.4,2.7,3.1,3.2,0.5,0,1.9,1.4,
495,"Jamal West, Jr.",NICH,34,32.6,13.4,4.6,9.1,0.503,0.1,0.8,0.185,4.1,6,0.691,2.1,5.4,7.4,2.1,0.6,1.6,3.1,3.3,
496,Budd Clark,MERRI,33,31.2,13.4,5.2,11.1,0.469,0.2,1.3,0.14,2.8,3.7,0.748,0.8,1.7,2.5,3.9,2.5,0.1,2.5,2.2,
497,John Poulakidas,YALE,33,31.1,13.4,4.7,10.5,0.447,2.5,6.2,0.405,1.5,1.9,0.766,0.6,1.8,2.3,1.9,0.5,0.4,0.9,1.7,
498,Chad Venning,STBN,33,24.1,13.4,5.3,10.1,0.529,0,0.1,0,2.7,3.8,0.709,1.5,3.1,4.6,0.5,0.4,1.6,2.2,3.1,
499,Arturo Dean,FIU,31,28.7,13.4,5.4,12.8,0.418,0.9,2.9,0.303,1.8,2.8,0.644,1,4.1,5.1,4,3.4,0.2,3.7,2.5,
