Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
Keshad Johnson,F,36,27.6,11.5,4.2,7.9,53,1,2.6,38.7,2.1,3,71,5.9,1.8,1,0.7,1.6
Darius Hannah,F,35,26,11.5,4.9,8,61.2,0,0.2,14.3,1.6,2.5,64.8,6.3,1.9,1.3,1.2,2
Xavier DuSell,G,33,32.2,11.5,3.8,8.9,42.3,2.7,6.8,39.5,1.3,1.6,82.7,2.1,0.5,0.6,0.1,0.7
Tanner Christensen,C,31,30.2,11.5,4.3,7.6,56.4,0.2,1.1,17.6,2.7,4.5,60,6.8,2,0.5,1.5,2.2
Braxton Bayless,G,29,25.6,11.5,4.3,8.4,50.6,0.3,0.8,45.5,2.6,3.2,81.5,2.1,2.5,1.1,0.1,2.2
Dominic Parolin,F,28,25.2,11.5,4.3,9.4,45.5,0.9,2.8,32.9,2,2.4,80.9,6.3,1.6,0.5,0.7,1.3
BJ McLaurin,F,33,25.2,11.5,3.8,8.9,42.2,1.5,4.4,34.5,2.4,3.1,78.4,5.9,1.1,0.5,0.2,0.9
A.J. Staton-McCray,G,31,21.3,11.5,4,9,44.2,1.2,3,41.3,2.3,2.7,83.5,4.5,1.3,1.6,0.5,1.6
Nazir Williams,G,29,24.9,11.4,4,8.8,45.3,1.3,3.9,33.3,2.2,2.8,80,3.8,3.2,0.6,0,2
Drew Lowder,G,36,30.3,11.4,4,12.1,33.3,2.2,6.9,32.4,1.2,1.5,79.2,2.6,2.9,1.4,0.1,1.3
Keonte Jones,F,34,29.4,11.4,4.1,7.7,53.6,0.4,1.2,33.3,2.7,4.2,64.6,6.9,2.2,1.6,1.5,1.9
Josh Pierre-Louis,G,30,30.4,11.4,4.5,8.5,53.1,0.6,1.6,35.4,1.9,2.8,66.7,4.8,3.2,1.5,0.3,2.9
Max Allen II,C,28,22.4,11.4,4.5,8.8,51.8,0.1,0.5,20,2.3,3.4,65.6,3.8,1.9,0.6,0.3,1.8
Tedrick Wilcox,G,33,30.8,11.4,4,10,40.2,1.6,5.2,31.6,1.7,2,86.4,4,1.8,1.2,0.1,2
Zeb Jackson,G,36,29.7,11.4,3.9,10.1,38.7,1.6,5.3,30,2.1,2.5,83.1,4.4,3.3,1.4,0.2,1.8
Jonas Aidoo,F,36,24.7,11.4,4.8,9.3,51.5,0.1,0.4,20,1.7,2.8,62.6,7.3,1,0.7,1.8,1
Will Richard,G,36,29.4,11.4,3.7,9.1,41.1,1.9,5.6,34.5,2,2.5,80.2,3.9,1.3,0.9,0.5,1.3
