RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
85,Jonathan Kuminga,Gol,*,F,22.4,32,26,27.6,10.6,169,0.639,307,0.502,116,0.345,0.506,0.539,16.8,5,2.2,0.9,0.6,1.6,21.7,18.9,23.9,8.8,107.8,108.3
86,Caris LeVert,Atl,*,G,30.5,10,28.3,20.9,6,27,0.778,70,0.643,55,0.345,0.588,0.614,16.8,4.1,2.6,1.1,0.4,0.8,20.9,19.4,23.5,8,123.9,111.5
87,Keyonte George,Uta,*,G,21.3,51,31.4,24.2,17,202,0.802,305,0.459,390,0.349,0.495,0.542,16.7,3.7,5.9,0.7,0.2,2.8,20.4,22.6,26.3,9.1,109.4,118.7
88,Malik Beasley,Det,*,G,28.3,62,27.4,22.8,7.2,101,0.663,227,0.493,586,0.422,0.593,0.602,16.6,2.8,1.7,1,0,1,19.5,18.4,21.2,6.3,117.6,112.6
89,Jordan Clarkson,Uta,*,G,32.7,32,26.6,27.5,13,118,0.805,234,0.444,207,0.367,0.494,0.539,16.6,3.2,3.9,0.8,0.3,2.1,19.8,20.5,23.7,8.9,109.4,117.8
90,Immanuel Quickley,Tor,*,G,25.7,23,28.4,24.4,12.4,91,0.857,151,0.464,144,0.375,0.512,0.567,16.5,3.2,5.5,0.5,0.1,1.8,19.7,22,25.2,9.3,116.5,114.9
91,O.G. Anunoby,Nyk,*,F-G,27.6,55,36.5,18.2,9.3,137,0.796,384,0.57,325,0.366,0.561,0.588,16.4,4.7,2.1,1.4,0.9,1.3,21.1,18.5,23.2,6,117.1,112.8
92,Derrick White,Bos,*,G,30.7,58,33.7,19.3,11.4,120,0.842,208,0.582,513,0.392,0.586,0.611,16.3,4.3,4.3,0.9,1,1.6,20.6,20.6,24.9,8,122.9,110
93,Jimmy Butler,Gol,*,F,35.5,10,30.6,21.1,9.9,75,0.867,89,0.517,20,0.1,0.45,0.574,16.3,5.3,5.3,1.1,0.3,1.2,21.6,21.6,26.9,10.1,130.7,113.3
94,Bennedict Mathurin,Ind,*,G-F,22.7,55,30.8,22,13.5,225,0.827,436,0.541,223,0.345,0.533,0.586,16.2,5.5,1.9,0.6,0.4,1.9,21.6,18,23.5,7.2,110.6,112
95,Jalen Suggs,Orl,*,G,23.8,35,28.6,27.4,17.5,110,0.882,239,0.506,242,0.314,0.489,0.536,16.2,4,3.7,1.5,0.9,2.9,20.2,19.9,23.9,8.7,100.7,102.9
96,Paul George,Phi,*,F,34.8,41,32.5,23.7,15.7,97,0.814,302,0.493,268,0.358,0.514,0.543,16.2,5.3,4.3,1.8,0.5,2.6,21.6,20.6,25.9,8.8,104.1,110.6
97,Devin Vassell,San,*,G-F,24.5,45,30.4,22.7,9.3,88,0.773,338,0.512,287,0.348,0.517,0.538,15.9,3.7,2.9,1.2,0.5,1.4,19.6,18.7,22.4,7.3,106.4,114.7
98,Ivica Zubac,Lac,*,C,28,59,32.2,18.9,13,168,0.643,660,0.623,0,0,0.623,0.634,15.8,12.5,2.5,0.8,1.2,1.7,28.3,18.3,30.8,9.8,125.6,104.5
99,Mark Williams,Cha,*,C,23.2,29,25.8,22.3,10.3,122,0.787,305,0.584,1,0,0.582,0.628,15.6,9.9,2.3,0.7,1.2,1.2,25.5,17.9,27.8,11,128.3,104.3
100,Myles Turner,Ind,*,C-F,28.9,53,30.8,20.7,13.6,162,0.765,319,0.536,292,0.408,0.572,0.603,15.5,6.5,1.6,0.8,1.9,1.8,22,17.2,23.6,7.1,110.6,108.9
101,Jared McCain,Phi,*,G,21,23,25.7,24.9,11.9,56,0.875,141,0.532,133,0.383,0.553,0.589,15.3,2.4,2.6,0.7,0,1.6,17.7,17.9,20.3,7.1,113.1,116.3
102,Kyle Kuzma,Was,,F,29.6,32,27.7,27,13.8,98,0.602,295,0.495,160,0.281,0.469,0.488,15.2,5.8,2.5,0.6,0.2,2.3,21,17.7,23.4,8.7,92.9,116.2
103,Christian Braun,Den,*,G,23.9,60,33.3,15.9,8.3,167,0.832,460,0.646,161,0.36,0.618,0.653,15.1,5.2,2.2,1.2,0.5,0.9,20.3,17.3,22.5,6.7,130.7,112.1
104,Kelly Oubre Jr.,Phi,*,F-G,29.2,57,35.1,18.8,9.9,172,0.756,469,0.561,233,0.292,0.52,0.553,15.1,6.2,1.8,1.5,0.5,1.4,21.3,16.8,23.1,6.3,111.2,110.9
105,Chet Holmgren,Okc,*,C-F,22.8,18,26.3,23.3,15.9,78,0.756,126,0.563,64,0.359,0.555,0.602,15,8.5,1.9,0.9,2.7,2,23.5,16.9,25.4,9.5,114.3,100.3
106,Kyle Kuzma,Mil,*,F,29.6,11,34.2,21.2,15.3,47,0.681,88,0.5,50,0.3,0.482,0.52,15,7.7,2.6,0.5,0.3,2.3,22.7,17.6,25.4,7.8,98.9,108.6
107,Naz Reid,Min,*,C-F,25.5,62,27.8,21.8,9.9,123,0.797,371,0.536,363,0.391,0.561,0.585,14.9,6.1,2.2,0.8,0.9,1.3,21,17,23.1,8.4,115.6,104.6
108,De'Andre Hunter,Cle,*,F-G,27.3,9,25.8,18.9,7.8,32,0.844,38,0.421,44,0.568,0.652,0.697,14.9,4.2,0.8,0.3,0.3,0.8,19.1,15.7,19.9,5.7,133.2,106.9
109,Deni Avdija,Por,*,F,24.2,58,28.7,22.1,18.8,277,0.769,366,0.546,247,0.332,0.527,0.584,14.8,6.4,3.6,0.9,0.5,2.4,21.2,18.4,24.8,9.7,112.5,109.1
110,Gradey Dick,Tor,*,G-F,21.3,54,29.4,21.3,11.4,155,0.858,321,0.47,326,0.35,0.498,0.543,14.4,3.6,1.8,0.9,0.2,1.5,18,16.2,19.8,6.2,106.1,114
111,Deandre Ayton,Por,*,C,26.6,40,30.1,19.6,12.8,60,0.667,436,0.594,32,0.188,0.573,0.583,14.4,10.2,1.6,0.8,1,1.7,24.6,16,26.2,8.2,113.7,108.9
112,Josh Hart,Nyk,*,G,30,58,37.7,15.4,16.9,165,0.806,402,0.649,183,0.328,0.6,0.635,14.4,9.6,5.7,1.4,0.4,2.1,24,20.1,29.7,9.8,127.7,108.7
113,Fred VanVleet,Hou,*,G,31,46,35.5,17.9,10.7,101,0.832,239,0.448,356,0.34,0.485,0.517,14.4,3.9,5.8,1.6,0.4,1.5,18.3,20.2,24.1,7.8,116,107.8
114,Jerami Grant,Por,*,F,31,45,32.5,19.6,10.1,159,0.843,273,0.381,279,0.366,0.466,0.521,14.4,3.5,2.2,0.9,1,1.4,17.9,16.6,20.1,5.9,108.2,114
