RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
384,Tidjane Salaun,Cha,*,F,19.6,45,19.2,14.9,14,60,0.7,97,0.351,142,0.282,0.393,0.433,5.1,4.1,1,0.5,0.3,0.9,9.2,6.1,10.2,5.7,93.5,111.7
385,Mitchell Robinson,Nyk,*,C-F,26.9,3,13.6,13.2,8,1,1,11,0.636,0,0,0.636,0.656,5,4,0.3,0,0.3,0.3,9,5.3,9.3,5.3,141,110.1
386,Alondes Williams,Det,*,G,25.7,1,3.7,22.8,0,0,0,1,1,1,1,1.25,1.25,5,0,1,0,0,0,5,6,6,0,0,0
387,Neemias Queta,Bos,*,C,25.6,47,14.2,13.3,15.4,48,0.729,151,0.669,2,0,0.66,0.681,5,3.7,0.6,0.3,0.6,0.6,8.8,5.7,9.4,6.3,131.9,99.7
388,Ryan Rollins,Mil,*,G,22.7,39,12.5,18.5,16.7,24,0.833,95,0.526,69,0.348,0.524,0.55,4.9,1.6,1.3,0.7,0.3,0.8,6.6,6.2,7.9,6.9,104.6,103.9
389,Jaylin Williams,Okc,*,F,22.7,32,16,14.3,12.5,11,1,45,0.556,102,0.314,0.497,0.517,4.9,5.3,2.3,0.4,0.6,0.7,10.3,7.2,12.6,9.8,118.5,97.7
390,Marvin Bagley III,Was,,F,26,19,8.8,23.2,13.4,23,0.652,61,0.59,10,0.2,0.549,0.573,4.9,2.9,0.4,0.4,0.3,0.6,7.8,5.3,8.2,8.1,113,113.7
391,Monte Morris,Pho,*,G,29.7,40,13,17.4,9,40,0.85,98,0.48,73,0.301,0.468,0.514,4.9,1.4,1.7,0.4,0.1,0.4,6.3,6.5,7.9,7,111.6,118.9
392,Kevon Looney,Gol,*,F,29.1,56,15.8,14,12.5,76,0.553,228,0.513,2,0,0.509,0.524,4.9,6.6,1.7,0.7,0.5,0.6,11.6,6.7,13.3,9.6,124,97.2
393,Lonnie Walker IV,Phi,*,G-F,26.2,6,16.7,18.2,12.4,3,1,12,0.333,23,0.261,0.371,0.399,4.8,2.5,1,0.5,0.5,0.8,7.3,5.8,8.3,5.5,81.5,115.2
394,Aaron Holiday,Hou,*,G,28.4,46,12.4,16,12.9,30,0.867,65,0.523,117,0.368,0.541,0.571,4.8,1.2,1.2,0.4,0.1,0.6,6.1,6.1,7.3,6.1,116.4,107.2
395,Markelle Fultz,Sac,*,G,26.8,5,10.5,23.1,31.6,1,1,17,0.588,2,0.5,0.605,0.617,4.8,1,1.4,0.8,0,1.8,5.8,6.2,7.2,7.2,90.1,109.3
396,Taylor Hendricks,Uta,*,F,21.3,3,24.8,12.2,9.8,4,0.75,6,0.167,12,0.25,0.306,0.354,4.7,5,0.7,1.7,1.3,0.7,9.7,5.3,10.3,4.1,87.5,109.1
397,DaQuan Jeffries,Cha,*,G-F,27.5,25,18.6,12.8,11.8,13,0.846,51,0.51,68,0.265,0.445,0.469,4.7,2.9,1,0.6,0.4,0.6,7.6,5.7,8.6,5.1,100.5,108.3
398,Jaylen Clark,Min,*,G,23.4,21,15.2,12.2,4.9,18,0.778,42,0.452,36,0.417,0.532,0.564,4.6,1.4,0.6,1,0,0.2,6,5.2,6.6,4.1,124,103
399,Sandro Mamukelashvili,San,*,F-C,25.8,39,8.5,19.7,10,31,0.742,49,0.714,77,0.377,0.623,0.645,4.6,2.3,0.5,0.3,0.3,0.4,6.9,5.1,7.4,8.2,123.3,107.2
400,Charles Bassey,San,*,C-F,24.3,34,10.7,18,16.5,33,0.636,116,0.586,0,0,0.586,0.601,4.6,4.4,0.5,0.4,0.9,0.7,9.1,5.1,9.6,8.1,117.2,101
401,Mo Bamba,Lac,*,C,26.8,28,12.6,16.3,15.5,25,0.68,53,0.623,50,0.3,0.539,0.561,4.6,4.3,0.6,0.3,1,0.7,8.9,5.1,9.4,7.2,108.8,96.2
402,Zach Collins,San,,F-C,27.3,36,11.8,17.1,14.8,35,0.886,86,0.547,46,0.304,0.515,0.566,4.6,2.8,1.4,0.4,0.4,0.6,7.4,6.1,8.9,8.9,118.7,101.1
403,Trentyn Flowers,Lac,*,F,20,2,7.9,28.5,9.6,1,1,7,0.571,2,0,0.444,0.477,4.5,2,0,0,0,0.5,6.5,4.5,6.5,0,91.4,94.6
404,Jordan Miller,Lac,*,G,25.1,32,12.1,18.5,15.2,33,0.788,91,0.516,37,0.216,0.461,0.505,4.5,1.8,1,0.5,0.2,0.7,6.3,5.5,7.3,6.6,103.3,109.8
405,David Roddy,Atl,,F,23.9,27,12.8,14.5,17.6,22,0.818,50,0.56,43,0.372,0.559,0.594,4.5,2.6,1.1,0.4,0.3,0.7,7.1,5.6,8.2,7.3,110.6,113.3
406,Trevelin Queen,Orl,*,G,28,26,14.3,17.6,13.9,15,0.867,59,0.475,65,0.246,0.419,0.448,4.5,1.6,1.3,1,0.4,0.8,6.1,5.8,7.4,5.9,95.5,103.6
407,Julian Phillips,Chi,*,F,21.3,60,13.5,13.4,9.5,61,0.738,95,0.568,114,0.325,0.524,0.56,4.4,2,0.4,0.4,0.3,0.4,6.4,4.8,6.8,4.5,114.4,112.2
408,Jett Howard,Orl,*,G,21.5,51,11.6,18.4,10.8,20,0.75,58,0.517,157,0.312,0.481,0.496,4.4,1.2,0.8,0.2,0.2,0.5,5.6,5.1,6.4,5.6,100.5,107
409,Tre Jones,San,,G,25.2,28,16.1,12.1,18.4,33,0.758,67,0.552,26,0.308,0.527,0.572,4.4,2.1,3.7,0.6,0.2,0.8,6.5,8.1,10.2,8.1,127.6,112.5
410,Kyle Anderson,Mia,*,F-G,31.5,9,13.7,14.8,11.7,16,0.75,25,0.44,5,0.4,0.467,0.54,4.4,3.1,1.7,0.3,0.4,0.4,7.6,6.1,9.2,8.3,123.9,105
411,Reggie Jackson,Phi,*,G,34.9,31,12.4,17.6,11.3,9,0.778,59,0.458,74,0.338,0.485,0.496,4.4,1.4,1.5,0.5,0.1,0.5,5.7,5.8,7.2,6.8,103.9,111.9
412,Patty Mills,Uta,,G,36.6,17,15.3,15,16.4,5,1,19,0.474,57,0.298,0.454,0.473,4.4,1.2,1.2,0.7,0.2,0.9,5.6,5.6,6.8,4.8,93.6,119.1
413,Cody Williams,Uta,*,F,20.3,36,20.2,12.3,16.1,34,0.735,86,0.372,81,0.272,0.389,0.426,4.3,2.2,1.3,0.5,0.3,0.9,6.5,5.6,7.8,4.6,91.6,115.4
414,Micah Potter,Uta,*,C,26.9,27,17.4,10,17.7,12,0.917,20,0.65,68,0.382,0.591,0.616,4.3,4.1,0.8,0.3,0.4,0.7,8.3,5.1,9.1,5.6,118.2,114.9
415,Paul Reed,Det,*,F,25.7,36,9.3,18.1,13.9,34,0.794,90,0.6,21,0.286,0.568,0.607,4.3,2.6,1,0.9,0.5,0.5,6.8,5.2,7.8,9.6,123.9,92.8
416,Jarred Vanderbilt,Lal,*,F,25.9,16,15.8,12.2,16.1,18,0.5,32,0.594,20,0.35,0.567,0.567,4.3,5.4,1.1,0.9,0.3,0.6,9.7,5.4,10.8,7.5,122.9,100.3
417,Daniel Theis,Nor,*,F-C,32.9,38,16.4,11.5,16.2,37,0.838,92,0.565,37,0.243,0.508,0.558,4.3,4.3,1.6,0.5,0.5,0.7,8.6,5.8,10.2,7.5,118.3,109.4
418,Pat Connaughton,Mil,*,G,32.2,31,14.8,13.5,14,17,0.765,54,0.556,62,0.323,0.517,0.539,4.3,2.6,1.6,0.2,0.3,0.6,6.9,5.9,8.6,7.1,112.3,109.3
419,Antonio Reeves,Nor,*,G,22.3,28,10.2,18,8.4,9,0.889,50,0.52,58,0.328,0.505,0.523,4.2,1.1,0.7,0.4,0.1,0.4,5.3,4.9,6,5.8,107.5,120.2
420,Jabari Walker,Por,*,F,22.6,45,11.1,15.8,13.6,47,0.681,100,0.61,46,0.261,0.541,0.57,4.2,3.3,0.6,0.6,0.1,0.5,7.5,4.9,8.1,7.3,115.2,102.1
421,Mason Plumlee,Pho,*,F-C,35,61,17.9,10.4,22.5,98,0.653,162,0.599,3,0,0.588,0.62,4.2,6.3,1.9,0.4,0.7,0.8,10.5,6.2,12.4,8.2,129.9,104.3
422,Dalen Terry,Chi,*,F,22.6,55,12.7,14.4,17.1,56,0.679,114,0.535,65,0.323,0.517,0.548,4.1,1.5,1.2,0.5,0.2,0.7,5.5,5.3,6.7,6.1,108.2,110.4
423,Kris Murray,Por,*,F,24.5,52,13.7,13.8,11.6,42,0.405,113,0.593,78,0.269,0.516,0.511,4.1,2.3,0.9,0.4,0.2,0.5,6.4,5,7.2,6,108.9,114.4
424,Jock Landale,Hou,*,C,29.4,31,10.9,16.6,12.4,34,0.676,90,0.478,16,0.375,0.491,0.525,4.1,3.2,0.8,0.2,0.3,0.5,7.3,4.9,8.1,8,115.2,104.4
425,Thomas Bryant,Mia,,C-F,27.6,10,11.5,13.5,6.6,11,1,11,0.545,17,0.353,0.536,0.624,4.1,3.2,0.4,0.1,0.9,0.2,7.3,4.5,7.7,6,131.2,106.5
426,Pelle Larsson,Mia,*,G,24,38,12.7,13.6,10.7,38,0.658,60,0.583,57,0.333,0.543,0.568,4,1.5,0.9,0.4,0.1,0.4,5.5,4.9,6.4,5.5,116.2,102.7
427,MarJon Beauchamp,Lac,*,F,24.4,3,5.7,24.5,12.2,4,0.5,4,0.5,3,0.667,0.714,0.685,4,1,0.7,0,0,0.3,5,4.7,5.7,9.9,132.6,106.8
428,Gui Santos,Gol,*,F,22.7,37,13.1,13.1,18.4,25,0.72,46,0.609,69,0.362,0.57,0.591,4,2.9,1.4,0.5,0.2,0.7,6.9,5.4,8.3,7.7,119.3,103.5
429,Kevin Knox II,Gol,*,F,25.6,7,7.3,22,3.9,4,0.75,13,0.615,11,0.273,0.521,0.543,4,1.6,0.6,0.1,0.6,0.1,5.6,4.6,6.1,8.6,120.7,107.5
430,Josh Richardson,Mia,*,G,31.5,8,18.7,14.2,17.2,4,1,16,0.313,22,0.273,0.368,0.402,4,1.5,1.5,1,0.1,1,5.5,5.5,7,4.4,87.2,105.6
431,Kyle Lowry,Phi,*,G,38.9,33,18.9,10.3,15.2,33,0.818,28,0.393,83,0.337,0.477,0.53,4,2,2.8,0.9,0.3,0.6,6,6.8,8.8,6,119.6,110.4
432,Reed Sheppard,Hou,*,G,20.7,44,11.9,17.7,12.4,16,0.813,81,0.407,110,0.282,0.416,0.434,3.9,1.4,1.2,0.6,0.3,0.6,5.3,5.1,6.4,6.3,96.1,106.6
433,Dariq Whitehead,Bro,*,G-F,20.6,10,5.9,25.6,18.1,3,0.333,4,0.25,23,0.522,0.704,0.689,3.9,0.6,0.1,0.3,0.1,0.6,4.5,4,4.6,4.2,101,116.3
434,Malaki Branham,San,*,F,21.8,36,8.4,21.9,19,20,0.85,62,0.468,57,0.386,0.521,0.552,3.9,1.1,0.7,0.2,0.1,0.8,5,4.6,5.7,6.9,95.8,115
435,Devin Carter,Sac,*,G,23,18,9.3,21.1,10.8,20,0.75,33,0.394,33,0.273,0.402,0.455,3.8,2.3,1.2,0.3,0.2,0.4,6.1,4.9,7.2,9.4,102,107.7
436,Olivier-Maxence Prosper,Dal,*,F,22.7,51,11,16.3,7.7,72,0.653,117,0.479,50,0.22,0.434,0.483,3.8,2.4,0.7,0.5,0.1,0.3,6.2,4.5,6.9,6.7,111.5,112.3
437,Ousmane Dieng,Okc,*,F,21.8,31,11.3,16,12,16,0.688,47,0.574,63,0.286,0.491,0.508,3.8,2.3,0.9,0.5,0.2,0.5,6.2,4.8,7.1,7,106.4,102.9
438,Brandon Williams,Dal,*,G,25.3,20,8.6,19.3,18.7,19,0.789,33,0.455,23,0.435,0.536,0.583,3.8,0.8,1.2,0.3,0.1,0.7,4.6,4.9,5.7,7.2,110.4,113.1
439,Shake Milton,Lal,*,G,28.4,19,11.2,15.1,19.6,17,0.882,29,0.586,24,0.333,0.547,0.604,3.8,1.8,1.4,0.3,0.1,0.7,5.7,5.2,7.1,7.6,116.9,110.4
440,Isaac Jones,Sac,*,F,24.6,26,8.7,15.9,16.4,26,0.538,57,0.702,4,0.25,0.68,0.67,3.7,1.5,0.3,0.1,0.3,0.5,5.2,4,5.5,5.4,119.7,108
441,Andre Jackson Jr.,Mil,*,G,23.3,54,16.5,11.4,22.5,18,0.556,105,0.524,70,0.386,0.546,0.549,3.7,3,1.4,0.6,0.2,0.9,6.8,5.1,8.1,6,107.5,103.7
442,Collin Gillespie,Pho,*,G,25.7,13,6.4,20.1,8.5,7,0.857,20,0.6,12,0.5,0.656,0.684,3.7,1,1.2,0.2,0.2,0.2,4.7,4.8,5.8,10.3,141.3,110.9
443,Jeff Dowtin Jr.,Phi,*,G,27.8,29,11.3,15.7,4.7,25,0.68,73,0.452,28,0.286,0.446,0.478,3.7,1.2,1.6,0.3,0.1,0.2,4.9,5.3,6.5,6.8,113.3,116.7
444,Jevon Carter,Chi,*,G,29.5,29,7.8,20,8.7,10,0.8,26,0.5,68,0.353,0.521,0.539,3.7,1,1,0.3,0.1,0.3,4.6,4.7,5.7,7.9,110.2,116.4
445,Markieff Morris,Lal,*,F,35.5,3,6.7,25.8,8.7,2,1,3,0,7,0.429,0.45,0.506,3.7,0.3,1,0,0,0.3,4,4.7,5,6.2,107.4,105.1
446,Cam Spencer,Mem,*,G,24.9,11,11.4,12.7,13.7,9,1,15,0.533,16,0.313,0.5,0.572,3.6,1.5,1.5,0.3,0.1,0.5,5.2,5.1,6.6,7,124.4,109.1
447,Nate Williams,Hou,*,G,26.1,10,6.9,24.9,19.8,4,0.75,20,0.6,12,0.25,0.516,0.533,3.6,0.6,0.4,0.4,0.3,0.8,4.2,4,4.6,5.5,92,102.3
448,Luka Garza,Min,*,C,26.2,30,6.2,25.4,10.4,29,0.655,56,0.607,30,0.233,0.517,0.547,3.6,1.6,0.3,0.2,0.1,0.3,5.2,3.9,5.5,7.7,114.1,100.3
449,Jae'Sean Tate,Hou,*,F,29.4,41,11.5,13.8,12.7,41,0.659,89,0.506,34,0.294,0.488,0.521,3.6,2.2,0.9,0.6,0.1,0.4,5.8,4.5,6.7,6.7,114.3,98.5
450,Landry Shamet,Nyk,*,G,28,29,11.4,13.4,12.1,7,0.429,35,0.657,52,0.346,0.575,0.572,3.6,0.8,0.6,0.4,0.1,0.4,4.3,4.1,4.9,4.2,108,113.9
451,Jaden Springer,Uta,*,G,22.4,6,11.1,14.2,24.6,6,0.667,8,0.5,7,0.429,0.567,0.595,3.5,1.2,1.5,0.5,0.2,0.8,4.7,5,6.2,6.7,112.6,114.6
452,Dario Saric,Den,*,F-C,30.9,15,13.5,15.5,19.9,10,0.7,30,0.4,26,0.269,0.402,0.43,3.5,3.3,1.5,0.5,0.1,0.9,6.7,4.9,8.2,7.7,94.9,108.1
453,Jamal Cain,Nor,*,F,26,24,11.9,13.1,12.5,20,0.65,29,0.552,41,0.293,0.486,0.514,3.4,2.1,0.6,0.5,0.3,0.4,5.5,4,6.1,5.5,108.2,114.1
454,A.J. Lawson,Tor,*,G,24.6,7,8.1,13.6,5.8,3,0.333,7,0.571,9,0.556,0.719,0.693,3.4,0.9,0.1,0,0.3,0.1,4.3,3.6,4.4,3.3,126.3,114.5
455,Drew Eubanks,Lac,*,F-C,28.1,8,9.5,14.5,8.6,6,0.833,20,0.55,1,0,0.524,0.571,3.4,3,0.4,0.1,0.4,0.3,6.4,3.8,6.8,6.7,127.5,112.7
456,Bruno Fernando,Tor,*,F-C,26.6,17,8.6,19.2,22.1,8,0.75,49,0.531,0,0,0.531,0.552,3.4,3,1.1,0.2,0.5,0.8,6.4,4.5,7.5,10.4,107.2,98
457,Damion Lee,Pho,*,G-F,32.4,16,6.3,29,11.8,17,0.941,26,0.462,26,0.192,0.375,0.462,3.4,0.9,0.5,0.3,0,0.4,4.3,3.9,4.8,7.3,93.3,116.5
458,Doug McDermott,Sac,*,F,33.2,33,8.2,15.1,6.4,5,0.6,13,0.385,75,0.44,0.619,0.621,3.4,0.5,0.1,0.1,0,0.2,3.9,3.5,4,2.7,116,111.2
459,Steven Adams,Hou,*,C,31.6,43,12.2,14.2,23.7,67,0.448,115,0.513,1,0,0.509,0.509,3.4,4.9,1.1,0.3,0.4,0.8,8.4,4.5,9.5,8.6,111.1,105.2
460,Oso Ighodaro,Pho,*,F,22.6,44,13.9,10.6,17.5,36,0.528,106,0.585,2,0,0.574,0.577,3.3,3,1,0.4,0.3,0.5,6.3,4.2,7.3,6.2,116.3,109.7
461,Nae'Qwan Tomlin,Cle,*,F,24.2,3,4.8,30.2,10.8,3,0.667,6,0.667,2,0,0.5,0.536,3.3,2,0,0,0,0.3,5.3,3.3,5.3,0,101.5,95.9
462,Cam Reddish,Lal,*,F-G,25.5,31,18.1,8.6,12.2,26,0.615,41,0.585,45,0.289,0.506,0.529,3.3,2,0.7,1,0.3,0.4,5.3,4.1,6.1,3.7,109.6,108.7
463,DeAndre Jordan,Den,*,C,36.6,46,11.5,12.4,23.7,37,0.405,106,0.651,0,0,0.651,0.626,3.3,4.7,0.8,0.3,0.4,0.7,8,4.1,8.8,8.1,117.8,103.4
464,Nicolas Batum,Lac,*,G-F,36.2,59,17,8.6,12,16,0.813,27,0.407,142,0.38,0.544,0.56,3.3,2.7,1.2,0.6,0.4,0.4,6.1,4.5,7.3,5.2,119.5,106.1
465,Jackson Rowe,Gol,*,F,28.2,5,8.5,17.4,6.2,4,0.5,6,0.667,9,0.222,0.467,0.477,3.2,1.6,0.6,0.6,0,0.2,4.8,3.8,5.4,6.8,100.5,102.5
466,Elijah Harkless,Uta,*,G,25.1,10,13.8,12.3,7.8,6,0.5,10,0.4,25,0.28,0.414,0.425,3.2,2.1,0.8,1,0.1,0.3,5.3,4,6.1,5.1,102.4,107.7
467,Wendell Moore Jr.,Det,,G,23.5,20,10.9,12.6,15.1,14,0.929,36,0.528,14,0.286,0.5,0.561,3.2,2.2,1.2,0.5,0.2,0.5,5.4,4.3,6.5,7.5,118.9,108.3
468,Moses Brown,Ind,,C,25.4,9,5.1,26.8,22.8,5,0.6,20,0.65,0,0,0.65,0.653,3.2,1.4,0,0.2,0.1,0.7,4.7,3.2,4.7,0,98.6,102.5
469,Jalen Pickett,Den,*,G,25.4,29,10.5,13.1,12.7,2,1,39,0.513,43,0.395,0.555,0.561,3.2,1.1,1.7,0.2,0.1,0.4,4.3,4.9,6,6.9,119.6,115.6
470,Jaylon Tyson,Cle,*,G-F,22.3,39,9.3,15,15.8,18,0.778,62,0.532,39,0.359,0.535,0.56,3.1,2,0.9,0.2,0.1,0.5,5.2,4.1,6.1,7.6,118.1,103.1
471,Trey Jemison,Lal,*,C,25.3,12,11.2,11.3,12.8,8,0.375,27,0.63,0,0,0.63,0.606,3.1,3,0.3,0.1,0.5,0.3,6.1,3.4,6.4,5,122.1,94.9
472,Dominick Barlow,Atl,*,F,21.8,19,8.1,14.8,3.9,10,0.6,35,0.543,14,0.357,0.541,0.552,3.1,1.6,0.2,0.2,0.4,0.1,4.7,3.3,4.9,4.9,116.2,111.2
473,JT Thor,Cle,*,F,22.5,9,4.7,24.5,28.1,8,0.875,9,0.667,6,0.5,0.7,0.756,3.1,0.7,0.1,0.2,0.3,0.7,3.8,3.2,3.9,5.1,113.8,101.2
474,Gary Harris,Orl,*,G,30.5,31,15.5,9.9,11.4,10,0.6,22,0.5,71,0.324,0.489,0.498,3.1,1.2,0.5,0.6,0.3,0.4,4.4,3.6,4.9,3.2,101.7,110
475,Alex Reese,Phi,*,F-C,25.8,1,4.1,10.7,0,0,0,0,0,1,1,1.5,1.5,3,0,0,0,0,0,3,3,3,0,300,127.1
476,Lamar Stevens,Mem,*,F,27.7,2,9.4,21.1,10.6,2,1,6,0.333,2,0,0.25,0.338,3,2.5,0,0.5,0,0.5,5.5,3,5.5,0,74.9,108.3
477,Craig Porter,Cle,*,G,25,39,8.9,13.9,21.2,13,0.769,55,0.6,30,0.467,0.635,0.65,3,1.1,1.4,0.3,0.3,0.6,4.2,4.4,5.5,7.5,121.9,111.4
478,Adem Bona,Phi,*,F,21.9,42,11,11.2,29.7,53,0.642,66,0.697,0,0,0.697,0.705,3,2.8,0.3,0.2,0.7,0.7,5.8,3.3,6.1,4.9,120.3,100.7
479,Taze Moore,Por,*,G,26.7,2,10,27.1,16.4,2,0.5,6,0.167,4,0.25,0.25,0.276,3,4,0.5,1,0,1,7,3.5,7.5,7.3,72.1,114.2
480,Kylor Kelley,Dal,*,C,27.5,8,8.3,10.7,7,6,0.667,13,0.769,0,0,0.769,0.767,3,2.6,0.3,0,0.3,0.1,5.6,3.3,5.9,6.4,158,105.3
481,Mason Jones,Sac,*,G,26.6,7,5,22.3,5.8,3,0.667,10,0.8,6,0.167,0.594,0.606,3,1.1,1.4,0,0,0.1,4.1,4.4,5.6,13.3,138.3,110.3
482,Zeke Nnaji,Den,*,F-C,24.2,40,9.3,12.1,6.2,21,0.571,59,0.661,32,0.313,0.593,0.599,3,1.5,0.3,0.3,0.5,0.2,4.5,3.3,4.8,4.8,124,107.1
483,Maxi Kleber,Dal,*,F,33.1,34,18.7,8.6,19.3,21,0.762,47,0.511,49,0.265,0.453,0.489,3,2.8,1.3,0.3,0.5,0.7,5.8,4.3,7.1,4.7,104.3,109.2
484,Taj Gibson,Cha,*,F,39.7,25,11.6,13.3,22.5,16,0.688,63,0.476,2,0.5,0.485,0.514,3,3.8,0.6,0.3,0.5,0.8,6.7,3.5,7.3,6.5,103.1,102.6
485,AJ Johnson,Mil,,G,20.3,7,6.3,23.7,17.2,2,0.5,14,0.357,5,0.6,0.5,0.503,2.9,1,1,0.1,0,0.6,3.9,3.9,4.9,9.1,94.9,116.1
486,Tyler Smith,Mil,*,F,20.3,15,5,24.2,14.9,4,0.5,14,0.643,20,0.4,0.618,0.615,2.9,1.3,0.3,0.1,0.2,0.4,4.2,3.2,4.5,8.3,106.6,102.8
487,Duop Reath,Por,*,C,28.7,30,6.3,18.2,9,12,0.833,23,0.652,47,0.34,0.557,0.584,2.9,1.2,0.3,0.1,0.2,0.2,4.1,3.3,4.5,6.4,119.3,110.7
488,Caleb Houstan,Orl,*,G,22.2,39,11.6,11.3,4.4,11,0.909,15,0.4,93,0.323,0.472,0.496,2.9,1,0.4,0.2,0.1,0.1,3.8,3.3,4.3,3.6,109.4,108.4
489,Jae Crowder,Sac,*,F,34.7,7,13.1,11,18.7,6,0.833,5,0.6,12,0.25,0.441,0.509,2.9,2.4,0.6,0.4,0,0.6,5.3,3.4,5.9,4.9,105.9,107
490,Branden Carlson,Okc,*,C,25.7,19,5.6,17,7.1,2,1,8,0.625,31,0.452,0.667,0.677,2.8,1.4,0.3,0.1,0.3,0.2,4.2,3.2,4.5,7.5,131.7,99.2
491,Jake LaRavia,Sac,*,F,23.3,9,15.3,13.2,22.4,6,0.333,12,0.333,19,0.263,0.371,0.372,2.8,2.4,1.2,0.6,0.2,1,5.2,4,6.4,5.2,86.8,108.1
492,Blake Wesley,San,*,G,22,37,8.3,17.8,23.9,27,0.667,65,0.554,24,0.208,0.489,0.52,2.8,0.6,1.8,0.4,0.1,0.8,3.5,4.6,5.3,7,103.6,115
493,TyTy Washington Jr.,Pho,*,G,23.3,10,9.3,19.4,7.6,4,0.75,18,0.444,18,0.167,0.347,0.371,2.8,1.2,1.2,0.3,0,0.3,4,4,5.2,6.8,91.6,120
494,Pat Spencer,Gol,*,G,28.7,28,7,21.9,13.5,15,0.733,66,0.455,17,0.118,0.398,0.43,2.8,1.4,1.3,0.4,0.1,0.5,4.2,4.1,5.5,9.8,100.5,106.3
495,Drew Peterson,Bos,*,F,25.3,16,8.3,11.5,18.5,7,0.857,6,0.667,20,0.45,0.673,0.705,2.6,1.7,0.7,0.2,0.1,0.4,4.3,3.3,4.9,7,130.6,104.3
496,AJ Johnson,Was,*,G,20.3,4,7.6,14.4,9.6,1,1,4,0.75,5,0.2,0.5,0.53,2.5,0.5,1.3,0.3,0,0.3,3,3.8,4.3,6.2,115.1,107.4
497,John Konchar,Mem,*,G,29,32,12.8,8.5,15.2,6,0.833,22,0.636,50,0.32,0.528,0.543,2.5,3.4,1,0.5,0.4,0.4,5.9,3.5,6.9,6.4,118.9,108.6
498,Delon Wright,Mil,,G,32.9,26,15.6,11.1,14.5,16,0.563,33,0.303,49,0.245,0.341,0.365,2.5,1.8,1.8,0.9,0.3,0.5,4.3,4.3,6.1,5.1,94.4,111.9
499,Trey Jemison,Nor,,C,25.3,16,10.4,13,23.7,21,0.381,32,0.469,0,0,0.469,0.461,2.4,2.8,0.6,0.4,0.4,0.6,5.1,3,5.8,6.1,99.6,105.1
500,Johnny Davis,Was,*,G,23,34,7.1,15.9,8.2,15,0.6,49,0.51,29,0.241,0.455,0.473,2.4,1.1,0.3,0.4,0.2,0.2,3.5,2.7,3.8,5.2,98.6,114.2
501,Kessler Edwards,Dal,*,F,24.6,31,11.6,10.1,10.8,3,1,44,0.545,30,0.267,0.486,0.498,2.4,2.4,0.9,0.4,0.4,0.3,4.8,3.4,5.7,6,112.3,106.9
502,Kobe Brown,Lac,*,F,25.2,26,7.4,14.4,11.2,5,0.8,36,0.611,19,0.211,0.509,0.524,2.3,1.9,0.6,0.2,0.1,0.3,4.2,2.9,4.8,7.5,113.6,105.6
503,Lester Quinones,Phi,*,G,24.3,4,4.3,32.2,32.2,1,1,5,0.8,3,0,0.5,0.533,2.3,1,0.3,0,0,1,3.3,2.5,3.5,8.2,84.1,125.2
504,Josh Minott,Min,*,F,22.3,36,6.4,16.2,10,13,0.846,40,0.625,32,0.219,0.493,0.528,2.3,1,0.4,0.3,0.3,0.2,3.3,2.7,3.7,6.1,109.2,101.1
505,Vlatko Cancar,Den,*,F,27.9,4,8.6,11,22.2,0,0,5,0.6,2,0.5,0.643,0.643,2.3,2,0,0,0.3,0.5,4.3,2.3,4.3,0,107,107.9
506,Rayan Rupert,Por,*,G-F,20.8,40,7.6,14.9,18.9,20,0.75,44,0.5,37,0.27,0.457,0.496,2.2,1.2,0.5,0.2,0.1,0.5,3.4,2.7,3.8,5.8,99.3,113.5
507,Christian Koloko,Lal,*,C,24.7,29,8.5,9.5,13.9,8,0.875,41,0.683,2,0,0.651,0.677,2.2,2.2,0.4,0.2,0.3,0.2,4.4,2.6,4.8,5.9,140.2,102.9
508,Kai Jones,Lac,,C-F,24.1,28,7.4,10.6,21.6,12,0.75,34,0.765,2,0,0.722,0.739,2.2,1.6,0.4,0.2,0.4,0.4,3.8,2.5,4.2,6.1,129.5,102.7
509,Torrey Craig,Bos,*,F,34.2,5,8.3,13.5,8.2,2,0.5,3,0.667,8,0.25,0.455,0.463,2.2,1.6,0.4,0,0.8,0.2,3.8,2.6,4.2,5.4,110.3,109.7
510,Cory Joseph,Orl,*,G,33.5,34,7.9,13.7,14.6,6,0.667,20,0.4,50,0.36,0.5,0.509,2.2,0.8,0.9,0.4,0.1,0.4,2.9,3,3.8,5.9,104.6,106.8
511,Hunter Tyson,Den,*,F,24.7,41,7.6,13.2,14.9,23,0.696,25,0.48,49,0.306,0.466,0.505,2.1,1.5,0.3,0.1,0.1,0.3,3.5,2.4,3.9,5.2,103,106.5
512,Dillon Jones,Okc,*,F,23.3,37,8.8,14.3,13.8,20,0.55,39,0.487,48,0.208,0.391,0.412,2.1,2,1,0.2,0.1,0.4,4.1,3.1,5.1,7.3,100.4,100.9
513,Pete Nance,Phi,*,F,25,7,9.8,10.2,0,2,0.5,3,0.333,12,0.333,0.467,0.472,2.1,1.4,0.4,0.1,0,0,3.6,2.6,4,4.3,112.2,106
