Date,Price,Open,High,Low,Vol.,Change %
9/22/1996,5872.92,5863.30,5929.88,5835.19,174.88M,-0.26%
9/15/1996,5888.45,5855.90,5905.47,5837.78,187.00M,0.86%
9/8/1996,5838.52,5689.45,5855.16,5659.86,151.57M,3.16%
9/1/1996,5659.85,5581.07,5681.31,5561.46,108.04M,0.78%
8/25/1996,5616.20,5731.62,5733.47,5588.47,115.07M,-1.86%
8/18/1996,5722.74,5695.37,5739.02,5672.80,136.04M,0.59%
8/11/1996,5689.45,5653.20,5706.09,5630.26,162.89M,0.14%
8/4/1996,5681.31,5676.13,5729.03,5648.02,130.63M,0.03%
7/28/1996,5679.83,5458.26,5679.83,5421.64,153.21M,3.78%
7/21/1996,5473.05,5414.24,5474.54,5270.35,180.48M,0.85%
7/14/1996,5426.82,5501.33,5509.83,5182.32,237.56M,-1.52%
7/7/1996,5510.56,5573.73,5604.39,5469.93,175.11M,-1.39%
6/30/1996,5588.13,5670.14,5733.31,5581.49,104.69M,-1.18%
6/23/1996,5654.62,5720.38,5742.54,5646.50,165.49M,-0.89%
6/16/1996,5705.23,5659.06,5705.23,5622.86,177.94M,0.99%
6/9/1996,5649.45,5699.32,5728.87,5630.99,144.77M,-0.84%
6/2/1996,5697.10,5627.29,5723.33,5580.38,159.58M,0.96%
5/26/1996,5643.17,5775.42,5783.91,5636.90,126.67M,-2.08%
5/19/1996,5762.85,5704.12,5796.10,5671.99,189.40M,1.32%
5/12/1996,5687.50,5529.40,5698.58,5516.47,199.27M,3.07%
5/5/1996,5518.13,5494.29,5533.67,5342.19,174.86M,0.73%
4/28/1996,5478.03,5550.29,5594.73,5458.16,167.18M,-1.62%
4/21/1996,5567.99,5571.97,5599.06,5508.38,168.62M,0.59%
4/14/1996,5535.48,5549.93,5627.96,5518.86,187.26M,0.05%
4/7/1996,5532.59,5573.05,5679.99,5415.53,219.54M,-2.64%
3/31/1996,5682.88,5609.90,5697.69,5587.50,125.63M,1.71%
3/24/1996,5587.14,5657.23,5680.71,5576.66,160.77M,-0.88%
3/17/1996,5636.63,5603.76,5709.97,5585.70,207.39M,0.92%
3/10/1996,5584.97,5456.00,5629.77,5444.07,243.58M,2.09%
3/3/1996,5470.45,5549.57,5666.98,5424.20,178.04M,-1.19%
2/25/1996,5536.56,5601.95,5629.77,5436.13,187.19M,-1.67%
2/18/1996,5630.49,5440.46,5659.40,5433.24,155.40M,2.31%
2/11/1996,5503.32,5558.24,5627.96,5499.35,193.26M,-0.69%
2/4/1996,5541.62,5357.73,5584.97,5348.34,203.03M,3.12%
1/28/1996,5373.99,5281.14,5410.84,5271.38,195.70M,1.94%
1/21/1996,5271.74,5183.23,5276.44,5175.65,189.19M,1.68%
1/14/1996,5184.68,5059.68,5194.07,5000.79,210.51M,2.44%
1/7/1996,5061.12,5187.21,5213.58,5014.52,162.00M,-2.32%
12/31/1995,5181.42,5107.00,5227.31,5098.33,172.21M,1.26%
12/24/1995,5117.12,5115.67,5126.51,5087.86,77.05M,0.38%
12/17/1995,5097.97,5127.60,5159.39,5031.50,167.47M,-1.52%
12/10/1995,5176.73,5153.97,5235.62,5145.66,188.76M,0.39%
12/3/1995,5156.86,5082.80,5209.25,5074.13,140.55M,1.37%
11/26/1995,5087.13,5061.12,5118.93,5032.94,144.62M,0.76%
11/19/1995,5048.84,4988.87,5067.62,4976.22,104.56M,1.18%
11/12/1995,4989.95,4852.67,4996.81,4847.61,168.51M,2.46%
11/5/1995,4870.37,4819.07,4876.87,4788.72,128.39M,0.93%
10/29/1995,4825.57,4754.40,4825.93,4742.84,134.83M,1.77%
10/22/1995,4741.75,4774.27,4800.28,4667.69,161.30M,-1.11%
10/15/1995,4794.86,4796.67,4815.82,4770.29,157.06M,0.02%
10/8/1995,4793.78,4758.73,4816.90,4659.74,160.91M,0.52%
10/1/1995,4769.21,4786.55,4789.80,4716.10,152.80M,-0.41%
9/24/1995,4789.08,4767.77,4816.54,4712.13,176.32M,0.52%
9/17/1995,4764.15,4777.52,4796.31,4728.39,196.75M,-0.70%
9/10/1995,4797.57,4703.54,4815.18,4698.96,198.93M,2.06%
9/3/1995,4700.72,4660.22,4716.21,4645.78,109.67M,1.14%
8/27/1995,4647.54,4611.61,4648.95,4570.85,112.72M,1.00%
8/20/1995,4601.40,4628.17,4656.34,4573.22,142.27M,-0.35%
8/13/1995,4617.60,4615.84,4661.27,4606.68,149.61M,-0.02%
8/6/1995,4618.30,4697.20,4702.83,4597.17,113.92M,-1.39%
7/30/1995,4683.46,4716.92,4754.96,4649.30,154.76M,-0.68%
7/23/1995,4715.51,4647.18,4741.92,4640.49,161.57M,1.59%
7/16/1995,4641.55,4714.45,4747.21,4552.09,197.38M,-1.43%
7/9/1995,4708.82,4709.99,4735.58,4670.57,153.11M,0.13%
7/2/1995,4702.73,4552.98,4704.81,4551.25,124.26M,3.22%
6/25/1995,4556.09,4578.23,4593.10,4521.86,130.38M,-0.65%
6/18/1995,4585.84,4513.90,4589.64,4509.06,142.88M,1.66%
6/11/1995,4510.79,4436.44,4517.02,4423.99,146.67M,1.96%
6/4/1995,4423.98,4437.82,4493.84,4406.69,148.12M,-0.46%
