RANK,PLAYER,COLLEGE,POS,GP,MIN,PTS,FGM,FGA,FG%,0.625,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
50,Quincy Olivari,XAV,G,34,32.2,19.1,5.8,13.7,42.5,3.1,7.6,40.9,4.4,5.4,81.4,5.6,2.1,1.4,0.1,1.6
51,Jacob Crews,MIZ,G,32,33.4,19.1,6.4,13.3,48.5,2.8,6.7,41.4,3.5,4.3,81.6,8.2,1.1,0.8,0.5,1.3
52,Jason Edwards,VAN,G,34,32.6,19.1,6.3,14.8,42.5,2.5,7.1,35,4.1,5,80.7,2.4,1.4,0.8,0.1,2.3
53,Wade Taylor IV,TA&M,G,36,32.9,19.1,5.9,16.3,36.6,2.7,8.4,32.5,4.5,5.3,84.7,3.5,4,1.8,0,2.8
54,Boo Buie,NU,G,34,36.9,19,6.3,14.4,43.8,2.6,6,43.4,3.7,4.4,85.8,3.3,5,1.4,0.1,2.3
55,Dion Brown,BC,G,32,32.3,19,7.7,15.2,50.6,1.4,4,34.9,2.2,2.9,76.1,7.6,2.6,1.3,0.5,3.1
56,Mervin James,RID,F,32,31.7,18.9,7,13.4,51.9,0.7,1.4,46.7,4.3,5.1,84.8,6.1,1.9,1,0.9,2.8
57,Mikeal Brown-Jones,MISS,F,28,28.4,18.9,6.2,11.5,54,0.9,2.1,43.1,5.5,7,78.7,7.5,1.1,0.6,0.9,1.7
58,Judah Mintz,SYR,G,32,34,18.8,5.9,13.4,43.8,0.8,2.7,28.2,6.3,8.3,76.5,3.2,4.4,2.1,0.1,2.9
59,Zeke Mayo,KU,G,35,35.9,18.8,6.2,13.4,46.6,2.6,6.7,39.1,3.7,4.5,82.8,5.7,3.5,1.1,0.2,3.1
59,Kino Lilly Jr.,BRWN,G,30,38,18.8,6.6,16.6,39.5,3,8.8,34.1,2.7,3.3,81.6,2.4,3.6,0.8,0.2,2.7
61,De'Sean Allen-Eikens,CSUN,F,33,33.7,18.8,6.3,13.2,48.2,1.1,2.9,36.1,5.1,6.8,74.2,5.3,2.3,1,0.2,3.2
62,Ken Evans Jr.,FAU,G,32,35.8,18.8,5.9,14.5,40.8,1.9,4.9,39.2,5,6.4,78.2,5.4,2.9,1.3,0.2,2.9
63,AJ McKee,MILW,G,33,31.6,18.8,6.5,14.6,44.7,1.9,5.8,32.3,3.8,5.2,73.4,4,2.4,1.7,0.3,1.9
64,Wesley Cardet Jr.,PROV,G,31,34.5,18.7,6.3,14.2,44.4,1.4,4.1,34.4,4.6,6.4,71.9,4.5,2.6,0.9,0.5,2.9
65,Basheer Jihad,ASU,F,30,32.6,18.6,5.9,13,45.1,1.3,3.8,35.4,5.6,7.4,74.9,8,1.8,1.1,1.1,3.4
66,Enrique Freeman,AKR,F,35,32.4,18.6,6.7,11.4,58.4,0.6,1.5,37,4.7,6.5,72.8,12.9,1.6,0.8,1.7,2.5
67,Jayden Epps,GTWN,G,29,34.8,18.5,6.1,15.6,39.2,2.2,7.2,30.5,4.1,5.4,76.3,2.6,4.2,1.2,0.4,3.4
68,Baylor Scheierman,CREI,F,35,36.8,18.5,6.3,14,44.8,3.1,8.3,38.1,2.8,3.2,87.6,9,3.9,0.9,0.1,2.2
69,Blake Hinson,PITT,F,33,33.6,18.5,6.1,13.4,45.4,3.3,7.9,42.1,2.9,4.4,66.9,4.4,0.8,0.5,0.2,1.3
70,JP Pegues,AUB,G,30,34.1,18.4,5.7,13.7,42,2.8,7.6,36.2,4.2,4.8,87.5,4.3,4.8,1.2,0.2,2.1
71,Robert McCray V,JAX,G,32,30.6,18.4,6.6,13.2,50.2,1.7,4.7,35.8,3.5,4.8,71.6,4.2,2.9,1.3,0.2,2.5
72,Tyson Walker,MSU,G,34,32.9,18.4,7,15.6,44.9,1.9,5,37.6,2.5,3.4,74.6,2.9,2.8,1.9,0.1,1.4
73,Kevin McCullar Jr.,KU,F,26,34.3,18.3,6.1,13.5,45.4,1.5,4.5,33.3,4.6,5.7,80.5,6,4.1,1.5,0.4,2.5
74,Bryce Pope,USC,G,33,35.6,18.3,6.5,15.5,41.8,2.2,6.8,33.2,3.1,3.8,81.7,3.9,1.9,1,0.2,1.3
75,PJ Hall,CLEM,C,36,28.9,18.3,6.7,13.7,48.8,1.4,4.6,31.5,3.5,4.5,77.9,6.4,1.4,0.8,1.4,1.9
76,Rayquan Brown,MVSU,G,30,35.4,18.3,6.6,14.9,44,1.4,4.2,32.3,3.8,5.3,71.2,6,1.2,1.1,0.6,2.1
77,James Bishop IV,GW,G,32,35.4,18.3,5.7,14.7,39,2.2,6,37.2,4.6,5.6,82.7,2.8,4.3,0.6,0.4,3
78,Johnell Davis,ARK,G,34,32.3,18.2,6.3,13,48.3,1.7,4.1,41.4,3.9,4.5,85.7,6.3,2.9,1.4,0.2,2.9
79,Sy Chatman,BUF,F,31,32.6,18.2,6.6,14.5,45.4,1.2,4.6,25.7,3.8,5.5,69.4,6.4,1.3,1.1,1.6,2.7
80,Keenon Cole,LIN,F,30,34.6,18.1,5.7,14.3,40.2,1.1,4.2,26.2,5.6,6.8,81.5,6.2,0.7,0.6,0.5,2.3
81,Jordan King,RICH,G,33,35.3,18,6.1,13.4,45.4,2.5,6.2,41.4,3.4,4.1,81.6,3.8,2.5,1.3,0.1,1.8
82,Hunter Sallis,WAKE,G,34,35.4,18,6.6,13.5,48.7,2.2,5.4,40.5,2.6,3.4,78.3,4.1,2.5,1.1,0.6,1.9
83,Caleb Love,ARIZ,G,36,32.3,18,6.1,14.7,41.3,2.6,7.7,33.2,3.3,4,83.9,4.8,3.4,1.2,0.3,2.1
84,Clark Slajchert,USC,G,22,34.6,18,6.7,13.8,48.7,2.6,6.1,42.2,1.9,2.3,82.4,3,2.9,1.2,0.1,2.2
85,Sherif Gross-Bullock,BRY,G,32,34.7,17.9,6,13.9,43.4,2.6,7.4,35.4,3.3,4.4,73.8,5.2,2.6,1,0.4,3.3
86,Cameron Tyson,SEA,G,34,32.1,17.9,5.9,14.3,41.2,3.4,8.7,39.4,2.7,3.1,87.6,4.2,1.4,0.7,0,1.7
86,Matt Balanc,QUIN,G,34,33.1,17.9,5.9,13.8,42.6,2.5,7.1,35.8,3.6,4.2,86.6,4.7,1.3,0.8,0.2,1.4
88,Hunter Dickinson,KU,C,33,32.2,17.9,7.6,13.8,54.8,0.7,2,35.4,2.1,3.3,62.4,10.9,2.3,0.9,1.4,1.8
89,Kaleb Higgins,CSUB,G,32,31.8,17.9,6.5,15.2,42.7,1.3,4.4,29.1,3.6,4.1,87.8,2.8,3.7,1.1,0,2
90,Shahada Wells,MCN,G,33,32.2,17.8,6.2,13.5,46.2,1.5,3.8,38.4,4,5,79.4,4.5,4.7,3,0.3,2
